timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
127642270,127641460,1200.0,0.63028544,0.04170104,1.2063516,0.0,255,190,6,4,0,0,1,1,1,1,35
128568870,128565404,1200.0,0.63028544,0.041828457,1.3006659,0.0,255,190,6,4,0,0,1,1,1,1,35
130496347,129488418,1200.0,0.63028544,0.041657407,1.2546815,0.0,255,190,6,4,0,0,1,1,1,1,35
130550111,130548783,1200.0,0.63028544,0.041657407,1.2546815,0.0,255,190,6,4,0,0,1,1,1,1,35
131490967,131481406,1200.0,0.63028544,0.04179732,1.1942092,0.0,255,190,6,4,0,0,1,1,1,1,35
132494373,132491402,1200.0,0.63028544,0.04179811,1.3236068,0.0,255,190,6,4,0,0,1,1,1,1,35
133566055,133554165,1200.0,0.63028544,0.041653235,1.1900924,0.0,255,190,6,4,0,0,1,1,1,1,35
134574474,134569436,1200.0,0.63028544,0.041577075,1.3888723,0.0,255,190,6,4,0,0,1,1,1,1,35
136507996,135493410,1200.0,0.63028544,0.041767646,1.2450736,0.0,255,190,6,4,0,0,1,1,1,1,35
137483754,137478804,1200.0,0.63028544,0.041732285,1.0353582,0.0,255,190,6,4,0,0,1,1,1,1,35
138494056,137478804,1200.0,0.63028544,0.04195473,1.5493282,0.0,255,190,6,4,0,0,1,1,1,1,35
139504897,138496128,1200.0,0.63028544,0.04163119,1.2112693,0.0,255,190,6,4,0,0,1,1,1,1,35
139657151,139652267,1200.0,0.63028544,0.04163119,1.2112693,0.0,255,190,6,4,0,0,1,1,1,1,35
141507160,141498410,1200.0,0.63028544,0.041751783,1.3092166,0.0,255,190,6,4,0,0,1,1,1,1,35
142514955,141498410,1200.0,0.63028544,0.04179574,1.3792595,0.0,255,190,6,4,0,0,1,1,1,1,35
143562875,142559196,1200.0,0.63028544,0.067847475,1.0785753,0.0,255,190,6,4,0,0,1,1,1,1,35
144501337,144500417,1200.0,0.63028544,0.041697357,1.2648199,0.0,255,190,6,4,0,0,1,1,1,1,35
145509915,144500417,1200.0,0.63028544,0.04171007,1.2870536,0.0,255,190,6,4,0,0,1,1,1,1,35
146495263,146485882,1200.0,0.63028544,0.04183854,1.3059602,0.0,255,190,6,4,0,0,1,1,1,1,35
147509883,147502414,1200.0,0.63028544,0.04153222,1.1965234,0.0,255,190,6,4,0,0,1,1,1,1,35
148517985,147502414,1200.0,0.63028544,0.041477013,1.2828248,0.0,255,190,6,4,0,0,1,1,1,1,35
149491438,149482444,1200.0,0.63028544,0.041795824,1.247904,0.0,255,190,6,4,0,0,1,1,1,1,35
150494216,149482444,1200.0,0.63028544,0.041763783,1.3066097,0.0,255,190,6,4,0,0,1,1,1,1,35
151515935,150504508,1200.0,0.63028544,0.041863397,1.1821426,0.0,255,190,6,4,0,0,1,1,1,1,35
152500148,152491899,1200.0,0.63028544,0.041564733,1.2914757,0.0,255,190,6,4,0,0,1,1,1,1,35
153504881,152491899,1200.0,0.63028544,0.041598406,1.2321051,0.0,255,190,6,4,0,0,1,1,1,1,35
