timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
131921819,-1.2243316,-1.2326628,0.21829621,0.2183996,0.0,0.0,1.0,0.054349717,0.090663426
132929173,-1.1598525,-1.1925389,0.22388867,0.22780468,0.0,0.0,1.0,0.059721507,0.09027068
133932991,-1.1175827,-1.1883326,0.23133482,0.23764516,0.0,0.0,1.0,0.12521546,0.09015938
134937495,-1.1740686,-1.3024502,0.24231526,0.24657765,0.0,0.0,1.0,0.26035872,0.09032078
135721391,-1.3076243,-1.4288591,0.23868266,0.24466765,0.0,0.0,1.0,0.13186905,0.090850115
136722397,-1.424183,-1.5131443,0.24076061,0.251485,0.0,0.0,1.0,0.1111161,0.09050428
137722876,-1.4726257,-1.5405966,0.24616587,0.26010785,0.0,0.0,1.0,0.013992313,0.09026206
138724199,-1.4898124,-1.540329,0.25621408,0.27188244,0.0,0.0,1.0,0.016285157,0.09020132
139731172,-1.4853281,-1.5212287,0.26771215,0.280081,0.0,0.0,1.0,0.038351636,0.09043722
140741391,-1.3930086,-1.3995911,0.26891896,0.27394024,0.0,0.0,1.0,0.06580543,0.09115251
141750062,-1.2493759,-1.2459189,0.26392767,0.26654914,0.0,0.0,1.0,0.06639556,0.09131669
142763439,-1.1830363,-1.1829183,0.25690475,0.2619782,0.0,0.0,1.0,0.029845621,0.0913187
143765381,-1.0566396,-1.0785779,0.2459192,0.25838616,0.0,0.0,1.0,0.09587673,0.09138291
144772361,-0.9874228,-1.0448414,0.24652398,0.2651792,0.0,0.0,1.0,0.126311,0.09058995
145786881,-0.97018933,-1.0604186,0.24288552,0.2639331,0.0,0.0,1.0,0.097774,0.090344764
146789064,-1.0071671,-1.140965,0.25356045,0.26918662,0.0,0.0,1.0,0.16001593,0.09055763
147798065,-1.123768,-1.297422,0.25546986,0.26515555,0.0,0.0,1.0,0.14697766,0.091020495
148808082,-1.3209828,-1.5072258,0.2524489,0.26012117,0.0,0.0,1.0,0.16727936,0.09107261
149817026,-1.3049145,-1.4915017,0.24131253,0.24955359,0.0,0.0,1.0,-0.0035201695,0.09123039
150817445,-1.3349636,-1.5296658,0.24670354,0.25304577,0.0,0.0,1.0,0.1188665,0.09033255
151820894,-1.3417432,-1.5782695,0.25512064,0.26042122,0.0,0.0,1.0,0.07275271,0.09033163
152826303,-1.285562,-1.5524226,0.2583981,0.26979956,0.0,0.0,1.0,-0.035764683,0.09059966
153829207,-1.2195293,-1.4941156,0.2525251,0.266323,0.0,0.0,1.0,0.05300488,0.091281354
154830030,-1.139682,-1.4018979,0.25017783,0.25989866,0.0,0.0,1.0,0.089498736,0.091012046
155838921,-1.1180348,-1.3713372,0.25599763,0.25990498,0.0,0.0,1.0,0.040538896,0.09029135
