timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
72422441,4.637402,0.0,0,0,1,0,1,0,0
72931786,4.4956055,0.0,0,0,1,0,1,0,0
73431823,4.572949,0.0,0,0,1,0,1,0,0
73933182,4.589062,0.0,0,0,1,0,1,0,0
74431826,4.5600586,0.0,0,0,1,0,1,0,0
74933478,4.7469726,0.0,0,0,1,0,1,0,0
75431737,4.7663083,0.0,0,0,1,0,1,0,0
75942195,4.727637,0.0,0,0,1,0,1,0,0
76941741,4.714746,0.0,0,0,1,0,1,0,0
77442259,4.7083006,0.0,0,0,1,0,1,0,0
77941797,4.701855,0.0,0,0,1,0,1,0,0
78452041,4.701855,0.0,0,0,1,0,1,0,0
78951632,4.740527,0.0,0,0,1,0,1,0,0
79451921,4.7469726,0.0,0,0,1,0,1,0,0
79953332,4.714746,0.0,0,0,1,0,1,0,0
80451952,4.4956055,0.0,0,0,1,0,1,0,0
80964057,4.7211914,0.0,0,0,1,0,1,0,0
81462387,4.6954103,0.0,0,0,1,0,1,0,0
81961899,4.6631837,0.0,0,0,1,0,1,0,0
82474106,4.740527,0.0,0,0,1,0,1,0,0
82976813,4.753418,0.0,0,0,1,0,1,0,0
83471757,4.688965,0.0,0,0,1,0,1,0,0
83974086,4.714746,0.0,0,0,1,0,1,0,0
84482900,4.508496,0.0,0,0,1,0,1,0,0
84981751,4.753418,0.0,0,0,1,0,1,0,0
85482133,4.740527,0.0,0,0,1,0,1,0,0
85981748,4.7469726,0.0,0,0,1,0,1,0,0
86482929,4.753418,0.0,0,0,1,0,1,0,0
86981629,4.753418,0.0,0,0,1,0,1,0,0
87492068,4.7469726,0.0,0,0,1,0,1,0,0
87992102,4.755029,0.0,0,0,1,0,1,0,0
88492454,4.7566404,0.0,0,0,1,0,1,0,0
88991853,4.74375,0.0,0,0,1,0,1,0,0
89491899,4.753418,0.0,0,0,1,0,1,0,0
90002013,4.740527,0.0,0,0,1,0,1,0,0
90504457,4.572949,0.0,0,0,1,0,1,0,0
91002202,4.714746,0.0,0,0,1,0,1,0,0
91501855,4.508496,0.0,0,0,1,0,1,0,0
92015340,4.7469726,0.0,0,0,1,0,1,0,0
92511774,4.705078,0.0,0,0,1,0,1,0,0
93013291,4.5342774,0.0,0,0,1,0,1,0,0
93522700,4.7469726,0.0,0,0,1,0,1,0,0
94021867,4.676074,0.0,0,0,1,0,1,0,0
94521630,4.5858397,0.0,0,0,1,0,1,0,0
95022934,4.755029,0.0,0,0,1,0,1,0,0
95526076,4.753418,0.0,0,0,1,0,1,0,0
96022140,4.5858397,0.0,0,0,1,0,1,0,0
96534057,4.740527,0.0,0,0,1,0,1,0,0
97032473,4.777588,0.0,0,0,1,0,1,0,0
97534172,4.5858397,0.0,0,0,1,0,1,0,0
