timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
72426776,0.26528284,0.26528162,0.57352304,0.74576086,0.7457603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0608864,0.0,0.0,nan,0.0,0.0,0.090175495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72631800,0.2652768,0.26527554,0.57348,0.74552107,0.74552053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.060139,0.0,0.0,nan,0.0,0.0,0.09017506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72826805,0.26530606,0.2653048,0.5735043,0.7457288,0.74572825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0602474,0.0,0.0,nan,0.0,0.0,0.090174876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73030816,0.26534244,0.2653412,0.5735302,0.7443138,0.74431324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0609417,0.0,0.0,nan,0.0,0.0,0.09017457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73235933,0.26528212,0.26528093,0.57354987,0.74380016,0.7437996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0602746,0.0,0.0,nan,0.0,0.0,0.090174176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73440716,0.2653797,0.26537856,0.57356614,0.7439096,0.743909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0603733,0.0,0.0,nan,0.0,0.0,0.090173855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73635867,0.26546228,0.26546136,0.5734698,0.7442503,0.74424964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0602303,0.0,0.0,nan,0.0,0.0,0.090173475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73843794,0.2654892,0.2654883,0.5734915,0.7443172,0.7443165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.06093,0.0,0.0,nan,0.0,0.0,0.0901732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74044927,0.26540297,0.2654021,0.5735114,0.74381834,0.74381775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0604157,0.0,0.0,nan,0.0,0.0,0.09017292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74244797,0.2654454,0.26544508,0.5735317,0.7439908,0.7439902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,4.0600944,0.0,0.0,nan,0.0,0.0,0.090172626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
