timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
72426776,0.9944466,-0.017513368,-0.0256914,-0.10054526,-0.015689394,0.0055284863,-0.041462842,-0.15586023,-0.6061463,2.0301132,3.8020196e-06,-2.1005953e-06,-1.4077226e-06,-5.0889746e-05,7.8706544e-05,0.0001024223,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,3.0349157e-09,5.4092114e-05,0.0062813363,4.7514445e-07,5.5731514e-05,5.580545e-05,4.3431566e-05,0.013656545,0.013655497,0.010811159,0.0648225,0.06482207,0.060065616,1.2908697e-11,1.2883418e-11,2.5161925e-11,1.3271456e-06,1.3298421e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008327398,0.012371422,0.037636366,535,0.3600619,0.24508287,0.036731906,0.009923078,0.0032315252,0.0032315252,0.0,0.0,0.0,-0.001312,0,0,0,895,24,0,0,0,0,0,0,0
72631800,0.99442035,-0.017548995,-0.025621712,-0.10081526,-0.017274177,0.0023128202,-0.052980587,-0.15834054,-0.60591155,1.990471,3.8119774e-06,-2.098149e-06,-1.2034327e-06,-5.098148e-05,7.836199e-05,0.000112709145,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,2.815039e-09,5.6449007e-05,0.0062835496,4.7257672e-07,5.574218e-05,5.5816166e-05,4.3270917e-05,0.013774365,0.013773281,0.010749237,0.06522494,0.06522449,0.059439767,1.29126605e-11,1.288754e-11,2.5077572e-11,1.3271447e-06,1.3298398e-06,5.0000008e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010748322,0.013641198,0.043820653,535,0.36117783,0.24380273,0.044195816,0.010375598,0.0034661645,0.0034661645,0.0,0.0,0.0,-0.001234,0,0,0,895,24,0,0,0,0,0,0,0
72826805,0.9943961,-0.017490732,-0.02575829,-0.1010294,-0.014841735,0.0035105995,-0.069058545,-0.15241352,-0.60681325,1.940727,3.8119965e-06,-2.0455775e-06,-1.0350642e-06,-5.116779e-05,7.785597e-05,0.00012486406,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,3.3175303e-09,6.378757e-05,0.006593926,4.7177187e-07,5.5751443e-05,5.5824767e-05,4.3253647e-05,0.013747923,0.013746842,0.0107415775,0.06522389,0.065223426,0.059353445,1.29147465e-11,1.2889667e-11,2.5038308e-11,1.3271456e-06,1.3298396e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001128341,0.011488775,0.036427353,535,0.3611749,0.24362563,0.05432283,0.036705036,0.0033273196,0.0033273196,0.0,0.0,0.0,-0.001306,0,0,0,895,24,0,0,0,0,0,0,0
73030816,0.9943655,-0.01751157,-0.025798652,-0.10131673,-0.018889239,0.0024736393,-0.076663375,-0.15530959,-0.6066037,1.9049768,3.819661e-06,-2.0483335e-06,-8.562361e-07,-5.1287807e-05,7.7595374e-05,0.00013141423,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,2.9975258e-09,6.420811e-05,0.006682034,4.7061977e-07,5.5760414e-05,5.5833516e-05,4.314864e-05,0.013701743,0.013700666,0.010818049,0.064965606,0.06496516,0.059966683,1.29069255e-11,1.2881926e-11,2.496861e-11,1.3271444e-06,1.3298375e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011530726,0.007673794,0.026845507,535,0.3604591,0.24488096,0.05663752,0.016872793,0.003207297,0.003207297,0.0,0.0,0.0,-0.001234,0,0,0,895,24,0,0,0,0,0,0,0
73235933,0.9943327,-0.017406702,-0.025804095,-0.10165555,-0.01807669,0.0052494807,-0.09298398,-0.15565681,-0.60423785,1.8464426,3.808743e-06,-2.0361451e-06,-6.925268e-07,-5.1287447e-05,7.7258825e-05,0.00014387252,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,2.602139e-09,6.248835e-05,0.006620973,4.7019904e-07,5.576985e-05,5.5842258e-05,4.3075586e-05,0.013813308,0.013812273,0.010757362,0.06540925,0.06540876,0.059379645,1.2915433e-11,1.2890512e-11,2.4915226e-11,1.3271414e-06,1.3298331e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010636139,0.007863076,0.027188199,535,0.36168772,0.24367939,0.03413306,0.02377,0.0032662232,0.0032662232,0.0,0.0,0.0,-0.001235,0,0,0,895,24,0,0,0,0,0,0,0
73440716,0.99431217,-0.017312834,-0.025668066,-0.10190547,-0.025706232,0.005263865,-0.09072712,-0.16371104,-0.609606,1.8298781,3.8574203e-06,-2.0515135e-06,-5.287761e-07,-5.1580333e-05,7.6969234e-05,0.00014045516,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,2.4122877e-09,6.24057e-05,0.006931518,4.683293e-07,5.575806e-05,5.5829787e-05,4.2974505e-05,0.013879846,0.013878923,0.010836286,0.065367594,0.06536707,0.060136735,1.290207e-11,1.2877227e-11,2.484257e-11,1.32713e-06,1.3298206e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010416675,0.0041109123,0.0065920507,535,0.3615725,0.24522793,0.034452803,0.03728823,0.0061362195,0.0061362195,0.0,0.0,0.0,-0.001312,0,0,0,895,24,0,0,0,0,0,0,0
73635867,0.9942935,-0.017207282,-0.025506042,-0.102146074,-0.02975729,0.0075257523,-0.08509971,-0.16789292,-0.61536187,1.8363581,3.9015003e-06,-2.0358195e-06,-3.6697867e-07,-5.143003e-05,7.6625605e-05,0.00013060994,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,2.51178e-09,6.780267e-05,0.007465334,4.663594e-07,5.573699e-05,5.580809e-05,4.2881533e-05,0.013924626,0.013923827,0.010741487,0.06556043,0.065559864,0.059337012,1.2911665e-11,1.2886874e-11,2.4795306e-11,1.3270914e-06,1.3297806e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001055101,0.014104033,0.040299002,535,0.36210537,0.2435919,0.04959636,0.018543182,0.0070627886,0.0070627886,0.0,0.0,0.0,-0.00131,0,0,0,895,24,0,0,0,0,0,0,0
73843794,0.9942739,-0.0170673,-0.0255127,-0.10235863,-0.03174266,0.002310998,-0.0833178,-0.17008875,-0.61913383,1.8337843,3.922238e-06,-2.0064056e-06,-2.2902545e-07,-5.1023733e-05,7.654252e-05,0.00012463047,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,2.5084261e-09,6.761781e-05,0.00726679,4.656584e-07,5.571055e-05,5.578067e-05,4.2863714e-05,0.013896378,0.013895622,0.010819099,0.06532001,0.06531948,0.059959777,1.2902811e-11,1.2878017e-11,2.4752846e-11,1.3270627e-06,1.329751e-06,5.000004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009900065,0.011716019,0.035931088,535,0.36144087,0.24486685,0.048633106,0.018504998,0.0077983392,0.0077983392,0.0,0.0,0.0,-0.001312,0,0,0,895,24,0,0,0,0,0,0,0
74044927,0.99424493,-0.01723734,-0.025582185,-0.10259327,-0.034920458,0.0039030765,-0.12178949,-0.17832324,-0.6197701,1.7059718,3.9219485e-06,-2.0264495e-06,-6.929496e-08,-5.1370276e-05,7.5938944e-05,0.00015864088,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,2.530233e-09,6.678401e-05,0.006999153,4.652661e-07,5.569013e-05,5.576067e-05,4.2797412e-05,0.01404082,0.014040115,0.010765445,0.06594232,0.065941796,0.059516788,1.2915568e-11,1.2890816e-11,2.4709443e-11,1.3270069e-06,1.3296942e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009548428,0.015646566,0.05042277,535,0.36315852,0.24396063,0.030210877,0.05091071,0.0066742236,0.0066742236,0.0,0.0,0.0,-0.001312,0,0,0,895,24,0,0,0,0,0,0,0
74244797,0.9942015,-0.017289774,-0.025541402,-0.10301566,-0.061203893,0.005063675,-0.1523081,-0.18382595,-0.6291668,1.606211,3.976453e-06,-2.0003022e-06,9.008018e-08,-5.103983e-05,7.435746e-05,0.00018249007,0.23148517,0.047516815,0.37260592,0.0,0.0,0.0,0.0,0.0,3.86587e-09,8.18203e-05,0.00627889,4.6508904e-07,5.564582e-05,5.5716228e-05,4.266977e-05,0.013899209,0.013898908,0.010801426,0.06535016,0.06534965,0.059786197,1.289503e-11,1.2870246e-11,2.4634428e-11,1.3269595e-06,1.329647e-06,5.0000097e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010447,0.019739622,0.06488746,535,0.36152428,0.24451216,0.035256665,0.038652763,0.008951,0.008951,0.0,0.0,0.0,-0.001228,0,0,0,895,24,0,0,0,0,0,0,0
