timestamp,timestamp_sample,device_id,x,y,z,temperature
164641614,164641568,5505042,-0.08992373,-0.05403976,0.095652774,24.0
165644603,165644550,5505042,-0.053926315,-0.010406527,0.024748765,23.0
166645608,166645556,5505042,0.081336714,-0.06385724,0.034566242,24.0
167646595,167646550,5505042,-0.60588676,0.039771695,-0.48685092,23.0
168648604,168648558,5505042,-0.57316184,0.6800895,-1.3911498,23.0
169648600,169648554,5505042,-0.15101026,-0.05294893,-0.8021011,23.0
170648608,170648562,5505042,-0.06265296,0.21757713,0.012749625,23.0
171651614,171651565,5505042,0.099880844,-0.010406527,0.01820378,23.0
172657654,172657608,5505042,0.060610928,-0.20130193,0.03783874,23.0
173660609,173660550,5505042,0.16860318,0.02122757,-0.0090669915,23.0
174665595,174665550,5505042,0.04970262,-0.046403944,-0.049427737,23.0
175669607,175669555,5505042,-0.028837204,0.028863385,0.022567105,23.0
176672600,176672551,5505042,0.016977694,0.027772555,0.011658795,23.0
177673598,177673549,5505042,1.2147101,0.3757476,0.11092441,23.0
178674597,178674551,5505042,0.81655675,0.74663013,1.2279352,23.0
179676607,179676561,5505042,0.77401435,0.6953611,1.3653799,23.0
180678613,180678561,5505042,-0.14991944,0.1390373,0.11637856,23.0
181680628,181680575,5505042,0.019159354,0.016864246,0.011658795,23.0
182682605,182682559,5505042,0.014796033,-0.05622142,-0.029792778,23.0
183683599,183683553,5505042,0.05733844,-0.046403944,0.05311037,23.0
184684602,184684557,5505042,-0.02447388,-0.03985896,0.0007504863,23.0
185686608,185686560,5505042,-0.3080899,0.05940665,0.43381035,22.0
186686600,186686554,5505042,-0.019019727,-0.013679019,-0.0657902,22.0
187687602,187687549,5505042,-0.30372658,-0.03985896,-0.19450824,22.0
188689603,188689557,5505042,-0.7236965,0.46519575,-0.7606495,22.0
189689604,189689558,5505042,-1.010585,0.6059129,-1.009359,22.0
190690608,190690562,5505042,0.70311034,-0.41074148,-0.60684234,22.0
191690600,191690554,5505042,0.091154195,0.09758573,0.0716545,22.0
192692606,192692560,5505042,0.66602206,-0.072583884,0.0018413169,22.0
193693757,193693711,5505042,1.066357,-0.42492226,-0.41158357,23.0
194694604,194694550,5505042,0.9583647,-0.30384004,-0.1257859,22.0
195695599,195695553,5505042,0.13260576,0.008137599,0.038929567,22.0
196700598,196700553,5505042,-0.80332714,0.06049748,-0.53812,22.0
197704604,197704558,5505042,0.23841636,0.05940665,-0.15523833,22.0
198705597,198705551,5505042,0.36495274,-0.23402686,-0.007976161,22.0
199707605,199707559,5505042,0.6038447,0.1564906,0.90504926,22.0
200707602,200707556,5505042,0.32350117,0.18812469,1.0883088,22.0
201708597,201708551,5505042,-0.10955869,0.17394389,-0.07451685,22.0
202710595,202710549,5505042,-0.3888114,0.40629086,-0.68210965,22.0
203715647,203715601,5505042,-0.04956299,-0.031132314,-0.05815438,22.0
204718606,204718560,5505042,-0.016838063,-0.059493914,0.047656216,22.0
205719604,205719558,5505042,-0.09537789,-0.010406527,-0.14433002,22.0
206721605,206721558,5505042,-0.5218928,0.0005017823,-0.7181071,22.0
207721615,207721569,5505042,0.18060233,-0.036586467,0.079290316,22.0
208724598,208724550,5505042,-0.24373089,0.03322671,-0.95590824,22.0
209731611,209731559,5505042,-0.55243605,0.10849404,-0.9439091,22.0
210733597,210733551,5505042,-0.95931596,0.66263616,-1.3867865,22.0
211738601,211738556,5505042,0.29841205,-0.0027707103,0.25491408,22.0
212740598,212740552,5505042,0.72492695,0.029954217,1.2824768,22.0
213742615,213742570,5505042,-0.4422621,-0.032223143,-1.0519013,22.0
214746599,214746554,5505042,0.4194943,0.06922413,0.81232864,22.0
215746806,215746760,5505042,0.07479173,0.043044187,-0.10942343,22.0
216747600,216747551,5505042,0.19478312,-0.10094549,-0.09633346,22.0
217747609,217747563,5505042,-0.09865038,0.019045908,-0.5948432,22.0
218747595,218747549,5505042,-0.3931747,0.4041092,-1.6289508,22.0
219751618,219751572,5505042,0.2635055,-0.8547096,-0.82173604,22.0
220755612,220755566,5505042,0.17296651,0.21648629,-0.1399667,22.0
221758604,221758558,5505042,-0.54043686,0.026681725,-0.75846785,22.0
222758598,222758552,5505042,0.19914645,-0.05294893,0.0018413169,22.0
223761604,223761558,5505042,0.19151063,0.05504333,-0.029792778,22.0
224763598,224763552,5505042,0.16314903,-0.105308816,0.012749625,22.0
225763604,225763558,5505042,-0.02447388,0.052861664,-0.037428595,22.0
226766657,226766601,5505042,-0.06374379,-0.014769851,0.025839597,22.0
227769624,227769578,5505042,0.056247607,0.036499202,-0.081061825,22.0
228772607,228772559,5505042,0.17405733,-0.036586467,-0.029792778,22.0
229777606,229777560,5505042,-0.0888329,-0.07476555,0.059655357,22.0
230782608,230782562,5505042,-0.71278816,0.78480923,-1.2787942,22.0
231782602,231782552,5505042,-0.29281828,0.008137599,-1.3660606,22.0
232784597,232784552,5505042,0.37149772,-0.5536403,0.09456195,22.0
233785595,233785550,5505042,-0.34081483,0.019045908,0.63997734,22.0
234785609,234785563,5505042,0.4053135,0.17612556,-0.370132,22.0
235787595,235787549,5505042,-0.36590394,-0.097673,0.22546165,22.0
236790601,236790555,5505042,0.10642583,0.22630377,-0.023247793,22.0
237793606,237793560,5505042,-0.4139005,0.3659301,-1.3911498,22.0
238794610,238794565,5505042,0.21332726,0.6070038,-2.1100073,22.0
239796595,239796550,5505042,-0.09319623,0.24702956,0.15673931,22.0
240796602,240796557,5505042,0.13915075,0.2273946,0.030202921,22.0
241799603,241799557,5505042,-0.1346478,-0.19693862,-0.040701088,22.0
242803613,242803568,5505042,0.19478312,0.25793788,0.024748765,22.0
243806597,243806551,5505042,0.176239,0.13249232,-0.028701948,22.0
244809597,244809552,5505042,-0.043018006,-0.024587328,0.068381995,22.0
245809612,245809566,5505042,0.13915075,-0.022405665,-0.012339484,22.0
246809605,246809560,5505042,-0.040836345,0.029954217,0.0051138103,22.0
247809625,247809580,5505042,0.07151924,-0.008224865,-0.025429456,22.0
248813604,248813558,5505042,0.07042841,-0.14130624,-0.4399452,22.0
249815595,249815549,5505042,0.25586966,0.14012814,0.044383723,22.0
250817606,250817561,5505042,0.008251048,0.276482,-0.048336904,22.0
251821615,251821567,5505042,-0.15101026,0.040862527,-0.059245214,22.0
252828610,252828554,5505042,0.026795171,-0.036586467,0.0400204,22.0
253830613,253830564,5505042,-0.013565571,-0.012588189,-0.039610256,22.0
254832601,254832551,5505042,-0.12155783,-0.024587328,0.06729117,22.0
255833595,255833549,5505042,0.17732984,0.012500922,-0.039610256,22.0
256840619,256840574,5505042,0.078064226,-0.025678158,0.020385442,22.0
257841630,257841584,5505042,-0.105195366,0.06704247,-0.023247793,22.0
258843599,258843552,5505042,-0.0092022475,0.032135878,0.04329289,22.0
259848608,259848558,5505042,-0.08337875,-0.14676039,0.021476272,22.0
260847618,260847573,5505042,-0.09755955,-0.007134034,-0.028701948,22.0
261852603,261852550,5505042,0.020250186,-0.01695151,0.034566242,22.0
262854604,262854558,5505042,-0.03538219,0.04522585,-0.010157823,22.0
263854598,263854550,5505042,0.27332294,0.038680863,0.01820378,22.0
264857595,264857549,5505042,-0.12810281,0.09540407,-0.004703668,22.0
265859595,265859549,5505042,-0.19246183,0.05940665,-0.016702808,22.0
266864595,266864550,5505042,0.06715591,-0.13148876,0.013840457,22.0
267864693,267864647,5505042,0.14678657,-0.05076727,0.032384582,22.0
268869607,268869558,5505042,0.019159354,-0.06712973,0.03129375,22.0
269871620,269871572,5505042,0.032249324,0.45865074,-0.00688533,22.0
270875604,270875558,5505042,0.06170176,0.25684702,-0.5064859,22.0
271878604,271878558,5505042,0.18060233,-0.31911168,-0.82609934,23.0
272880600,272880549,5505042,-0.04738133,-0.0660389,-0.69847214,23.0
273881611,273881558,5505042,0.07697339,-0.14457874,-0.82282686,22.0
274882611,274882566,5505042,0.21550891,0.16194475,-0.105060115,23.0
275884607,275884557,5505042,-0.22845925,0.040862527,-0.005794499,23.0
276887598,276887553,5505042,0.108607486,0.036499202,-0.0625177,23.0
277889597,277889551,5505042,-0.13901113,0.051770836,-0.028701948,23.0
278891612,278891567,5505042,-0.11501285,-0.008224865,-0.00034034438,23.0
279891614,279891568,5505042,0.014796033,0.0223184,0.023657935,23.0
280894610,280894564,5505042,0.054065943,0.039771695,-0.015611977,23.0
281894750,281894704,5505042,-0.10192288,0.15430893,-0.07560767,23.0
282897600,282897554,5505042,-0.21427846,0.11831152,0.020385442,23.0
283898597,283898551,5505042,-0.10846786,-0.123852946,0.06074618,23.0
284900609,284900564,5505042,0.22314472,-0.046403944,-0.005794499,23.0
285900595,285900550,5505042,0.122788295,-0.046403944,0.047656216,23.0
286901611,286901562,5505042,0.26677796,-0.11730795,0.08365363,23.0
287903598,287903552,5505042,-0.03756385,0.029954217,0.0062046405,23.0
288908606,288908557,5505042,-0.24700338,-0.013679019,-0.037428595,23.0
289910603,289910557,5505042,0.054065943,-0.01695151,-0.015611977,23.0
290914604,290914558,5505042,-0.09755955,0.10631238,0.01602212,23.0
291914608,291914562,5505042,-0.12592115,0.2415754,-0.08324349,23.0
292914604,292914558,5505042,-0.21755095,-0.104217984,-0.777012,23.0
293918607,293918561,5505042,-0.051744655,-0.07694721,-0.85009766,23.0
294918595,294918549,5505042,0.21332726,0.056134157,0.10656108,23.0
295921606,295921560,5505042,0.1446049,0.16521724,-0.0014311755,23.0
296923773,296923719,5505042,-0.15864608,-0.04858561,-0.12796755,23.0
297923597,297923551,5505042,0.02461351,0.07576911,-0.005794499,23.0
