timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
72429151,0,396809,0.23098281,0.0935523,0.3946933,0.0,0.003,73,23,102,1
73423831,0,396809,0.22795843,0.08776074,0.37001827,0.0,0.003,72,21,94,1
74423819,0,396809,0.23098281,0.079073414,0.3669339,0.0,0.003,73,18,93,1
75420432,0,396809,0.22795843,0.081969194,0.37001827,0.0,0.003,72,19,94,1
77426439,0,396809,0.20376334,0.07617764,0.400862,0.0,0.003,64,17,104,1
78433962,0,396809,0.19771457,0.058802985,0.400862,0.0,0.003,62,11,104,1
79439863,0,396809,0.21586089,0.047219884,0.39777765,0.0,0.003,68,7,103,1
80438009,0,396809,0.25215352,0.08486497,0.36076513,0.0,0.003,80,20,91,1
81434329,0,396809,0.20981212,0.1283016,0.3792714,0.0,0.003,66,35,97,1
82441105,0,396809,0.16747072,0.15436357,0.39777765,0.0,0.003,52,44,103,1
83438851,0,396809,0.12815373,0.18621711,0.38852453,0.0,0.003,39,55,100,1
84444799,0,396809,0.14327565,0.18042557,0.3916089,0.0,0.003,44,53,101,1
85451441,0,396809,0.15537319,0.17752978,0.38544017,0.0,0.003,48,52,99,1
86447912,0,396809,0.12512933,0.17173824,0.38852453,0.0,0.003,38,50,100,1
87454310,0,396809,0.028349003,0.15146782,0.42245263,0.0,0.003,6,43,111,1
88451432,0,396809,-0.08052887,0.11382272,0.4162839,0.0,0.003,-30,30,109,1
89460495,0,396809,-0.09262641,0.081969194,0.41011515,0.0,0.003,-34,19,107,1
90457170,0,396809,-0.07145571,0.099343844,0.42245263,0.0,0.003,-27,25,111,1
91468087,0,396809,-0.09262641,0.04142833,0.425537,0.0,0.003,-34,5,112,1
92465329,0,396809,-0.12589465,0.04142833,0.4131995,0.0,0.003,-45,5,108,1
93473322,0,396809,-0.11077272,0.17752978,0.38544017,0.0,0.003,-40,52,99,1
94471090,0,396809,-0.03516309,0.29915237,0.34225887,0.0,0.003,-15,94,85,1
95467245,0,396809,0.06766601,0.316527,0.3175839,0.0,0.003,19,100,77,1
96473492,0,396809,0.17351949,0.2817777,0.31141517,0.0,0.003,54,88,75,1
97472285,0,396809,0.25215352,0.1891129,0.33609015,0.0,0.003,80,56,83,1
98480429,0,396809,0.20376334,-0.0077998536,0.400862,0.0,0.003,64,-12,104,1
99478157,0,396809,0.17956828,-0.07150692,0.40394637,0.0,0.003,56,-34,105,1
100475857,0,396809,0.2128365,-0.085985795,0.38852453,0.0,0.003,67,-39,100,1
101483774,0,396809,0.20678774,-0.088881575,0.3792714,0.0,0.003,65,-40,97,1
