timestamp,load,ram_usage
71961984,0.67062366,0.8574508
72961331,0.72358817,0.85838485
73961330,0.686929,0.85838485
74963139,0.68543583,0.85838485
75964061,0.68794334,0.85975
76963193,0.6840601,0.85975
77962012,0.69439334,0.85975
78961837,0.6922319,0.85975
79964066,0.6924139,0.85975
80966203,0.70750487,0.85975
81962037,0.7348592,0.85975
82961339,0.73460484,0.85975
83961330,0.7320988,0.85975
84965506,0.73756224,0.85975
85963125,0.732947,0.85975
86961384,0.73478734,0.85975
87965336,0.73532766,0.85975
88965739,0.73388505,0.85975
89964924,0.73853165,0.85975
90962102,0.7349933,0.85975
91961403,0.73311406,0.85975
92961330,0.738104,0.85975
93961328,0.7349202,0.85975
94961926,0.7361219,0.85975
95962994,0.73285925,0.85975
96961961,0.73313916,0.85975
97961328,0.73075163,0.85975
98961456,0.7298587,0.85975
99961330,0.73605907,0.85975
100962138,0.7320024,0.85975
101961415,0.73258436,0.85975
102961994,0.73091924,0.85975
103964097,0.7118002,0.85975
104962181,0.69233227,0.85975
105961420,0.72838306,0.85975
106962728,0.73232436,0.85975
107961328,0.731565,0.85975
108961333,0.73108774,0.85975
109963961,0.7343093,0.85975
110962254,0.73383087,0.85975
111964145,0.73511624,0.85975
112961951,0.73522353,0.85975
113968428,0.732993,0.85975
114962975,0.73390174,0.85975
115961332,0.73677063,0.85975
116961405,0.7340447,0.85975
117961472,0.72868085,0.85975
118962850,0.7351726,0.85975
119961436,0.7330134,0.85975
123962136,0.72956824,0.85975
124961328,0.73153996,0.85975
125964052,0.733337,0.85975
126962373,0.7344092,0.85975
127962000,0.7336327,0.85975
128961350,0.73544896,0.85975
129961328,0.7364497,0.85975
130961406,0.7366468,0.85975
131961328,0.73385173,0.85975
132963978,0.7334807,0.85975
133963138,0.73471963,0.85975
134962019,0.73282874,0.85975
135965306,0.7296294,0.85975
136964442,0.73012197,0.85975
137961373,0.73317564,0.85975
138961328,0.7300196,0.85975
139966021,0.72717476,0.85975
140961328,0.73510975,0.85975
141963270,0.7338364,0.85975
142966182,0.73640233,0.85975
143963144,0.73391837,0.85975
144966853,0.7357547,0.85975
145964244,0.73554826,0.85975
146961755,0.7323854,0.85975
147961331,0.73029137,0.85975
148964385,0.7326107,0.85975
149961328,0.73560673,0.85975
150967168,0.73297775,0.85975
151962413,0.7318392,0.85975
152963205,0.73190546,0.85975
153966836,0.73635966,0.85975
154961436,0.73323244,0.85975
155962508,0.7355097,0.85975
156961328,0.7331747,0.85975
157962766,0.73458815,0.85975
158961333,0.7288418,0.85975
159963510,0.7303732,0.85975
160961332,0.73339045,0.85975
161961328,0.73091376,0.85975
162961328,0.73432773,0.85975
163961330,0.7339383,0.85975
164963953,0.73562944,0.85975
165961408,0.7343874,0.85975
166961332,0.73328876,0.85975
167968322,0.7348976,0.85975
168961334,0.7316123,0.85975
169962924,0.73477554,0.85975
170961331,0.7326675,0.85975
171962036,0.7303407,0.85975
172962408,0.73725903,0.85975
173962411,0.732754,0.85975
174965374,0.7298094,0.85975
175962298,0.7326193,0.85975
176961867,0.7349969,0.85975
177963674,0.732544,0.85975
178961393,0.7330737,0.85975
179962239,0.7327492,0.85975
180963251,0.73257756,0.85975
181961327,0.7320584,0.85975
182964905,0.7330905,0.85975
183961472,0.73275435,0.85975
184961409,0.7386171,0.85975
185961349,0.73211884,0.85975
186966308,0.7354243,0.85975
187961328,0.73402965,0.85975
188961493,0.7346252,0.85975
189961328,0.7315158,0.85975
190961470,0.7337156,0.85975
191961854,0.7337091,0.85975
192961802,0.7335233,0.85975
193961421,0.7340267,0.85975
194962339,0.7358208,0.85975
195964320,0.7361467,0.85975
196961328,0.73111737,0.85975
197961436,0.7347353,0.85975
198961328,0.73489213,0.85975
199961328,0.73798776,0.85975
200961406,0.73024976,0.85975
201965854,0.7304845,0.85975
202963765,0.73189163,0.85975
203963324,0.7323408,0.85975
204964944,0.73585564,0.85975
205961328,0.73411953,0.85975
206963162,0.7357501,0.85975
207964189,0.74076927,0.85975
208963130,0.73590827,0.85975
209963868,0.73452586,0.85975
210965904,0.735322,0.85975
211962300,0.73259526,0.85975
212964223,0.73298174,0.85975
213962039,0.73544693,0.85975
214961981,0.73466134,0.85975
215961954,0.7319925,0.85975
216962172,0.73472786,0.85975
217962061,0.7345622,0.85975
218961458,0.7321267,0.85975
219961328,0.7316647,0.85975
220964473,0.7359676,0.85975
221962691,0.73547864,0.85975
222961332,0.7376927,0.85975
223963035,0.73688376,0.85975
224961328,0.73688096,0.85975
225961331,0.7350178,0.85975
226963236,0.73822176,0.85975
227961718,0.7363463,0.85975
228961384,0.73812294,0.85975
229964062,0.735694,0.85975
230964268,0.7357254,0.85975
231961328,0.7346047,0.85975
232961333,0.73241407,0.85975
233961328,0.7353394,0.85975
234961814,0.73723304,0.85975
235963984,0.7305547,0.85975
236961966,0.73217446,0.85975
237961385,0.7323413,0.85975
238961936,0.7318433,0.85975
239961328,0.7308512,0.85975
240961328,0.7320777,0.85975
241961332,0.73328376,0.85975
242961328,0.73389775,0.85975
243961430,0.74434924,0.86054033
244961333,0.7438362,0.86054033
245962230,0.7489352,0.86054033
246961386,0.7366996,0.86054033
247961980,0.70677304,0.86054033
248961348,0.73535156,0.86054033
249961331,0.7460778,0.86054033
250961328,0.7493868,0.86054033
251961331,0.74295473,0.86054033
252961414,0.7484168,0.86054033
253961340,0.74472004,0.86054033
254961407,0.7385304,0.86054033
255961385,0.7058971,0.86054033
256961328,0.7095557,0.86054033
257962156,0.70930856,0.86054033
258961330,0.7076828,0.86054033
259961772,0.7098229,0.86054033
260961340,0.7077514,0.86054033
261962220,0.7079681,0.86054033
262961328,0.7077477,0.86054033
263964158,0.7055127,0.86054033
264961328,0.71058273,0.86054033
265961344,0.70804775,0.86054033
266962343,0.71046674,0.86054033
267961332,0.707574,0.86054033
268961377,0.7079104,0.86054033
269961380,0.704201,0.86054033
270961448,0.7182301,0.86054033
271965213,0.75162446,0.86054033
272961425,0.74854517,0.86054033
273961381,0.7471688,0.86054033
274963852,0.74485195,0.86054033
275964091,0.7444118,0.86054033
276964157,0.7443741,0.86054033
277965501,0.7457744,0.86054033
278963748,0.73842096,0.86054033
