timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
261666467,inf,0,0,0,0,0
262667109,inf,0,0,0,0,0
263686507,inf,0,0,0,0,0
264706460,inf,0,0,0,0,0
265706476,inf,0,0,0,0,0
266726459,inf,0,0,0,0,0
267726472,inf,0,0,0,0,0
268746462,inf,0,0,0,0,0
269766431,inf,0,0,0,0,0
270766495,inf,0,0,0,0,0
271789744,inf,0,0,0,0,0
272806462,inf,0,0,0,0,0
273806476,inf,0,0,0,0,0
274827391,inf,0,0,0,0,0
275827478,inf,0,0,0,0,0
276846461,inf,0,0,0,0,0
277846478,inf,0,0,0,0,0
278846990,inf,0,0,0,0,0
279866454,inf,0,0,0,0,0
280866464,inf,0,0,0,0,0
281886461,inf,0,0,0,0,0
282886465,inf,0,0,0,0,0
283887415,inf,0,0,0,0,0
284907455,inf,0,0,0,0,0
285907825,inf,0,0,0,0,0
286927255,inf,0,0,0,0,0
287947023,inf,0,0,0,0,0
288947103,inf,0,0,0,0,0
289966441,inf,0,0,0,0,0
290987065,inf,0,0,0,0,0
292006457,inf,0,0,0,0,0
293007241,inf,0,0,0,0,0
294026469,inf,0,0,0,0,0
295047217,inf,0,0,0,0,0
296049304,inf,0,0,0,0,0
297067039,inf,0,0,0,0,0
298086463,inf,0,0,0,0,0
299086875,inf,0,0,0,0,0
300106950,inf,0,0,0,0,0
301126615,inf,0,0,0,0,0
302146864,inf,0,0,0,0,0
303166431,inf,0,0,0,0,0
304167383,inf,0,0,0,0,0
305167489,inf,0,0,0,0,0
306168102,inf,0,0,0,0,0
307186460,inf,0,0,0,0,0
308186462,inf,0,0,0,0,0
309187136,inf,0,0,0,0,0
310209115,inf,0,0,0,0,0
311226458,inf,0,0,0,0,0
312226458,inf,0,0,0,0,0
313226465,inf,0,0,0,0,0
314246851,inf,0,0,0,0,0
315247150,inf,0,0,0,0,0
316267800,inf,0,0,0,0,0
317286457,inf,0,0,0,0,0
318286459,inf,0,0,0,0,0
319286459,inf,0,0,0,0,0
320286507,inf,0,0,0,0,0
321286644,inf,0,0,0,0,0
322307172,inf,0,0,0,0,0
323326465,inf,0,0,0,0,0
324326488,inf,0,0,0,0,0
325347299,inf,0,0,0,0,0
326347507,inf,0,0,0,0,0
327367368,inf,0,0,0,0,0
328367372,inf,0,0,0,0,0
329386459,inf,0,0,0,0,0
330386467,inf,0,0,0,0,0
331388057,inf,0,0,0,0,0
332406463,inf,0,0,0,0,0
333426458,inf,0,0,0,0,0
334426461,inf,0,0,0,0,0
335426467,inf,0,0,0,0,0
336446779,inf,0,0,0,0,0
337466469,inf,0,0,0,0,0
338486434,inf,0,0,0,0,0
339487507,inf,0,0,0,0,0
340506454,inf,0,0,0,0,0
341507943,inf,0,0,0,0,0
342526464,inf,0,0,0,0,0
343546471,inf,0,0,0,0,0
344566473,inf,0,0,0,0,0
345566487,inf,0,0,0,0,0
346586508,inf,0,0,0,0,0
347606494,inf,0,0,0,0,0
348626463,inf,0,0,0,0,0
349626465,inf,0,0,0,0,0
350626755,inf,0,0,0,0,0
351627368,inf,0,0,0,0,0
352646467,inf,0,0,0,0,0
353666461,inf,0,0,0,0,0
354667006,inf,0,0,0,0,0
355686439,inf,0,0,0,0,0
356686467,inf,0,0,0,0,0
357686472,inf,0,0,0,0,0
358706471,inf,0,0,0,0,0
359706772,inf,0,0,0,0,0
360708289,inf,0,0,0,0,0
361726467,inf,0,0,0,0,0
362726689,inf,0,0,0,0,0
363746953,inf,0,0,0,0,0
364766954,inf,0,0,0,0,0
365767340,inf,0,0,0,0,0
366768421,inf,0,0,0,0,0
369806464,inf,0,0,0,0,0
370827195,inf,0,0,0,0,0
371846458,inf,0,0,0,0,0
372846463,inf,0,0,0,0,0
373846493,inf,0,0,0,0,0
374849951,inf,0,0,0,0,0
375868937,inf,0,0,0,0,0
376869507,inf,0,0,0,0,0
377886466,inf,0,0,0,0,0
378906466,inf,0,0,0,0,0
379928323,inf,0,0,0,0,0
380946458,inf,0,0,0,0,0
381946458,inf,0,0,0,0,0
382946462,inf,0,0,0,0,0
383946467,inf,0,0,0,0,0
384966891,inf,0,0,0,0,0
385987756,inf,0,0,0,0,0
387006462,inf,0,0,0,0,0
388026839,inf,0,0,0,0,0
389046915,inf,0,0,0,0,0
390066438,inf,0,0,0,0,0
391066499,inf,0,0,0,0,0
392086772,inf,0,0,0,0,0
393086929,inf,0,0,0,0,0
394087259,inf,0,0,0,0,0
395087894,inf,0,0,0,0,0
396089854,inf,0,0,0,0,0
397106484,inf,0,0,0,0,0
398107064,inf,0,0,0,0,0
399126467,inf,0,0,0,0,0
400126935,inf,0,0,0,0,0
401146492,inf,0,0,0,0,0
402166454,inf,0,0,0,0,0
403166458,inf,0,0,0,0,0
404166468,inf,0,0,0,0,0
405166519,inf,0,0,0,0,0
406167845,inf,0,0,0,0,0
407186458,inf,0,0,0,0,0
408186462,inf,0,0,0,0,0
409186466,inf,0,0,0,0,0
410186964,inf,0,0,0,0,0
411206845,inf,0,0,0,0,0
412226789,inf,0,0,0,0,0
413246457,inf,0,0,0,0,0
414246472,inf,0,0,0,0,0
415267168,inf,0,0,0,0,0
416286470,inf,0,0,0,0,0
417286977,inf,0,0,0,0,0
418306473,inf,0,0,0,0,0
419326465,inf,0,0,0,0,0
420326501,inf,0,0,0,0,0
421327142,inf,0,0,0,0,0
422346475,inf,0,0,0,0,0
423347203,inf,0,0,0,0,0
424348312,inf,0,0,0,0,0
425349446,inf,0,0,0,0,0
426366474,inf,0,0,0,0,0
427366482,inf,0,0,0,0,0
428386966,inf,0,0,0,0,0
429406458,inf,0,0,0,0,0
430406494,inf,0,0,0,0,0
431426473,inf,0,0,0,0,0
432426771,inf,0,0,0,0,0
433427291,inf,0,0,0,0,0
434428932,inf,0,0,0,0,0
435449040,inf,0,0,0,0,0
436466462,inf,0,0,0,0,0
437466467,inf,0,0,0,0,0
438466467,inf,0,0,0,0,0
439466504,inf,0,0,0,0,0
440486464,inf,0,0,0,0,0
441509878,inf,0,0,0,0,0
442526491,inf,0,0,0,0,0
443548083,inf,0,0,0,0,0
444566464,inf,0,0,0,0,0
445566482,inf,0,0,0,0,0
446586468,inf,0,0,0,0,0
447586891,inf,0,0,0,0,0
448608105,inf,0,0,0,0,0
449626462,inf,0,0,0,0,0
450627104,inf,0,0,0,0,0
451646454,inf,0,0,0,0,0
452646477,inf,0,0,0,0,0
453646836,inf,0,0,0,0,0
454666462,inf,0,0,0,0,0
455666464,inf,0,0,0,0,0
456467803,inf,0,0,0,0,1
457486435,inf,0,0,0,0,1
458486815,inf,0,0,0,0,1
459506940,inf,0,0,0,0,1
460507194,inf,0,0,0,0,1
461526462,inf,0,0,0,0,1
462547441,inf,0,0,0,0,1
463548018,inf,0,0,0,0,1
464566475,inf,0,0,0,0,1
465566765,inf,0,0,0,0,1
466567140,inf,0,0,0,0,1
467586467,inf,0,0,0,0,1
468586894,inf,0,0,0,0,1
469606975,inf,0,0,0,0,1
470626457,inf,0,0,0,0,1
471626473,inf,0,0,0,0,1
472646458,inf,0,0,0,0,1
473647012,inf,0,0,0,0,1
474666454,inf,0,0,0,0,1
475666458,inf,0,0,0,0,1
476666466,inf,0,0,0,0,1
477667778,inf,0,0,0,0,1
478686484,inf,0,0,0,0,1
479687893,inf,0,0,0,0,1
480186468,inf,0,0,0,0,0
481206458,inf,0,0,0,0,0
482206462,inf,0,0,0,0,0
483146463,inf,0,0,0,0,1
483507169,inf,0,1,0,0,1
483526464,inf,0,1,0,0,0
483586457,inf,0,0,0,0,0
483606506,inf,0,0,0,0,1
484627455,inf,0,0,0,0,1
485646463,inf,0,0,0,0,1
485966466,inf,0,0,0,0,0
486966469,inf,0,0,0,0,0
487986463,inf,0,0,0,0,0
488806460,inf,0,0,0,0,1
489166627,inf,0,1,0,0,1
489186696,inf,0,1,0,0,0
489826488,inf,0,1,0,0,1
