timestamp,total_written_kb,write_rate_kb_s,dropouts,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
172662394,3312.1309,33.034042,10,2927,14336,0,3,120
173664987,3346.0,33.041443,10,2736,14336,0,3,120
174672270,3378.2139,33.031,10,3678,14336,0,3,120
175674219,3414.086,33.057884,10,1270,14336,0,3,120
176677379,3444.0,33.026737,10,5034,14336,0,3,120
177678347,3480.461,33.05905,10,2135,14336,0,3,120
178679263,3514.0,33.063282,10,2730,14336,0,3,120
179680205,3546.001,33.053093,10,4682,14336,0,3,120
180683067,3578.3057,33.045303,10,5634,14336,0,3,120
181684314,3612.0,33.05087,10,4713,14336,0,3,120
182686919,3644.127,33.04171,10,5849,14336,0,3,120
183687850,3680.3486,33.070007,10,2577,14336,0,3,120
184688721,3714.0508,33.07538,10,2622,14336,0,3,120
185691170,3746.1582,33.06612,10,4109,14336,0,3,120
186691238,3780.0,33.07289,10,3953,14336,0,3,120
187692031,3812.004,33.06339,10,5897,14336,0,3,120
188692920,3850.0,33.105553,10,1807,14336,0,3,120
189694073,3882.626,33.10114,10,3045,14336,0,3,120
190695221,3914.5068,33.090504,10,5158,14336,0,3,120
191696147,3948.0,33.09362,10,5200,14336,0,3,120
192697386,3984.6504,33.122845,10,2119,14336,0,3,120
193698345,4018.0,33.124454,10,2518,14336,0,3,120
194699764,4050.084,33.115562,10,4628,14336,0,3,120
195699858,4082.167,33.107162,10,6312,14336,0,3,120
196705792,4120.051,33.144005,10,1993,14336,0,3,120
197709170,4153.301,33.14396,10,3059,14336,0,3,120
198709836,4186.0,33.140263,10,3349,14336,0,3,120
199710858,4218.049,33.131424,10,5361,14336,0,3,120
200711826,4254.0996,33.153927,10,2044,14336,0,3,120
201713141,4288.002,33.159378,10,1432,14336,0,3,120
202715038,4320.074,33.15055,10,3179,14336,0,3,120
203720246,4354.0,33.15514,10,2283,14336,0,3,120
204722949,4386.135,33.14675,10,4012,14336,0,3,120
205724196,4419.04,33.14463,10,3405,14336,0,3,120
206725344,4452.0,33.14297,10,2872,14336,0,3,120
207725720,4484.0254,33.134624,10,3391,14336,0,3,120
208729140,4516.6895,33.130337,10,2599,14336,0,3,120
209736258,4550.0,33.129936,10,1958,14336,0,3,120
210737848,4582.3594,33.123985,10,1819,14336,0,3,120
211743082,4614.6914,33.117054,10,2066,14336,0,3,120
212744713,4648.0,33.11804,10,929,14336,0,3,120
213747982,4676.0,33.08106,10,5051,14336,0,3,120
214750906,4708.1006,33.073494,10,5287,14336,0,3,120
215751447,4740.1016,33.06589,10,5154,14336,0,3,120
216752869,4774.0,33.071346,10,3204,14336,0,3,120
217753114,4806.036,33.064156,10,2241,14336,0,3,120
218753764,4834.5967,33.033234,10,6036,14336,0,3,120
219756229,4870.323,33.05096,10,2725,14336,0,3,120
220759897,4904.034,33.054592,10,1506,14336,0,3,120
221762385,4932.1074,33.020687,10,5666,14336,0,3,120
222762843,4968.1416,33.04063,10,1776,14336,0,3,120
223766144,4998.0,33.018887,10,4506,14336,0,3,120
224767203,5030.4395,33.014854,10,4137,14336,0,3,120
225768189,5062.129,33.006,10,4456,14336,0,3,120
226771509,5096.0,33.010895,10,2788,14336,0,3,120
227773965,5128.3965,33.006416,10,2804,14336,0,3,120
228776753,5160.551,33.00038,10,3416,14336,0,3,120
229782373,5194.0,33.002056,10,2246,14336,0,3,120
230786025,5226.507,32.99817,10,1843,14336,0,3,120
231787494,5258.549,32.991863,10,1414,14336,0,3,120
232789120,5292.0,32.994392,10,1040,14336,0,3,120
233790167,5320.0,32.963234,10,5116,14336,0,3,120
234791142,5352.042,32.957363,10,5490,14336,0,3,120
235792132,5384.245,32.952545,10,4538,14336,0,3,120
236794941,5418.0,32.956863,10,2928,14336,0,3,120
237798110,5450.0947,32.95102,10,2683,14336,0,3,120
238799240,5482.128,32.945282,10,2967,14336,0,3,120
239800165,5516.0,32.950634,10,1257,14336,0,3,120
240801160,5544.0,32.921043,10,4635,14336,0,3,120
241804052,5576.2266,32.91638,10,5136,14336,0,3,120
242808225,5612.788,32.936962,10,1838,14336,0,3,120
243809950,5646.076,32.938683,10,1915,14336,0,3,120
244814198,5678.0664,32.93237,10,3743,14336,0,3,120
245814315,5712.0,32.938118,10,3271,14336,0,3,120
246815000,5744.1006,32.93319,10,4792,14336,0,3,120
247818023,5782.0,32.960934,10,1926,14336,0,3,120
248819040,5814.301,32.956997,10,4236,14336,0,3,120
249820067,5846.159,32.950615,10,5436,14336,0,3,120
250822258,5880.0,32.955204,10,5030,14336,0,3,120
251826303,5916.0303,32.971596,10,1799,14336,0,3,120
252833053,5948.2344,32.96611,10,2820,14336,0,3,120
253834826,5978.0,32.948147,10,5939,14336,0,3,120
254838102,6014.3926,32.96644,10,2595,14336,0,3,120
255838122,6048.0,32.969925,10,3601,14336,0,3,120
256843926,6080.3555,32.96556,10,6062,14336,0,3,120
257846261,6118.0,32.990376,10,2691,14336,0,3,120
258848292,6150.1455,32.985485,10,5561,14336,0,3,120
259853201,6188.0,33.010593,10,2748,14336,0,3,120
260853712,6220.084,33.005585,10,5325,14336,0,3,120
261857013,6258.0,33.03093,10,2186,14336,0,3,120
262857817,6290.083,33.025814,10,4876,14336,0,3,120
263858223,6328.0,33.05129,10,1876,14336,0,3,120
264862776,6360.2354,33.046272,10,4601,14336,0,3,120
265864070,6398.0,33.07044,10,1925,14336,0,3,120
266867993,6430.503,33.066853,10,4246,14336,0,3,120
267868220,6468.0,33.089478,10,1364,14336,0,3,120
268873222,6500.115,33.08368,10,3442,14336,0,3,120
269876997,6536.0977,33.09772,10,1574,14336,0,3,120
270879811,6570.3467,33.103054,10,2099,14336,0,3,120
271881967,6602.1973,33.096416,10,3527,14336,0,3,120
272885377,6636.0,33.099377,10,3187,14336,0,3,120
273886200,6668.1074,33.094322,10,3941,14336,0,3,120
274887070,6700.2266,33.089363,10,5126,14336,0,3,120
275890030,6734.0,33.092243,10,4437,14336,0,3,120
276892031,6766.007,33.08661,10,5428,14336,0,3,120
277893815,6802.375,33.10229,10,1827,14336,0,3,120
278894811,6836.1406,33.105347,10,1887,14336,0,3,120
279895734,6868.0107,33.099247,10,5256,14336,0,3,120
