timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
72419276,nan,nan,nan,nan,2.6179938,-0.00861495,0.012099562,0.0062710177,0.3767441,0.50084,0.50084,0.0,20.0,20.0,nan,nan,nan
72633839,nan,nan,nan,nan,2.6179938,-0.0152951805,0.006724534,0.0060201534,0.23694861,0.49072,0.49072,0.0,20.0,20.0,nan,nan,nan
72825322,nan,nan,nan,nan,2.6179938,-0.019191626,0.0068579116,0.0044744937,0.42306,0.42306,0.42306,20.0,20.0,20.0,nan,nan,nan
73018917,nan,nan,nan,nan,2.2822475,-0.01631942,0.010274984,0.0055234395,0.47004,0.47004,0.47004,20.0,20.0,20.0,nan,nan,nan
73238041,nan,nan,nan,nan,0.23848043,-0.029014502,0.0029313993,0.0055837696,0.0,-0.4726,0.4726,0.0,-20.0,20.0,nan,nan,nan
73442917,nan,nan,nan,nan,0.025771234,-0.028742403,0.006570947,0.0062725204,0.0,-0.50090003,0.50090003,0.0,-20.0,20.0,nan,nan,nan
73618019,nan,nan,nan,nan,0.0038398039,-0.027622575,0.009568742,0.0057926863,0.48136,0.0,0.48136,20.0,0.0,20.0,nan,nan,nan
73838761,nan,nan,nan,-0.2036316,0.00034713038,-0.02777587,0.0016316548,0.0076712384,0.41748622,-0.08978319,0.55394,-20.0,0.0,20.0,nan,nan,nan
74041336,nan,nan,nan,-0.2036316,3.8558544e-05,-0.057050396,0.0074269054,0.0078618545,0.56078,-0.13806522,0.56078,20.0,0.0,20.0,nan,nan,nan
74247020,nan,nan,nan,-0.2036316,4.153858e-06,-0.05274867,0.011849643,-0.007412007,0.5445,-0.25744396,-0.5445,20.0,0.0,-20.0,nan,nan,nan
74437004,-0.20341316,-0.62051314,nan,-0.2036316,5.3849095e-07,-2.810142e-10,0.0,-0.25950634,0.0,0.0,-3.2218401,0.0,0.0,-20.0,nan,nan,nan
74636192,-0.20341316,-0.62051314,nan,-0.2036316,6.16646e-08,-2.810142e-10,0.0,-1.0412401,0.0,0.0,-4.0,0.0,0.0,0.0,nan,nan,nan
74837078,-0.20341316,-0.62051314,nan,-0.2036316,6.961366e-09,-2.810142e-10,0.0,-1.4980812,0.0,0.0,-0.27704233,0.0,0.0,20.0,nan,nan,nan
75046070,-0.20341316,-0.62051314,nan,-0.2036316,7.065493e-10,-2.810142e-10,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
