timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
75787284,-0.20341316,-0.62051314,nan,-0.2036316,2.2832002e-13,0.023453576,0.0470593,-0.27111638,0.0,0.0,0.0,0.0,0.0,0.0,0.008795672,0.0034515334,-0.27573448
75888415,-0.20341316,-0.62051314,nan,-0.2036316,7.6180964e-14,0.028442102,0.05588371,-0.4565232,0.0,0.0,0.0,0.0,0.0,0.0,0.009299129,0.0048754383,-0.3122208
75986918,-0.20341316,-0.62051314,nan,-0.2036316,2.6047547e-14,0.033824492,0.062139515,-0.6371121,0.0,0.0,0.4794,0.0,0.0,0.0,0.008588358,0.0039198953,-0.3481645
76108496,-0.20341316,-0.62051314,nan,-0.2036316,6.8919268e-15,0.038147017,0.069522716,-0.8600051,0.0,0.0,0.12154274,0.0,0.0,0.0,0.009281803,0.005391879,-0.39933127
76617340,-0.20341316,-0.62051314,nan,-0.2036316,2.7799367e-17,0.04165449,0.05369738,-1.1707709,0.0,0.0,0.21148384,0.0,0.0,0.0,-0.0019331246,-0.021403775,-0.48992488
76908395,-0.20341316,-0.62051314,nan,-0.2036316,1.1603224e-18,0.012068021,-0.024587678,-0.9810672,0.0,0.0,0.0,0.0,0.0,0.0,-0.008481717,-0.03718669,-0.5023546
77009418,-0.20341316,-0.62051314,nan,-0.2036316,3.8749883e-19,-0.0006001483,-0.056834206,-0.9812838,0.0,0.0,0.0,0.0,0.0,0.0,-0.009966808,-0.046637986,-0.51905674
77132008,-0.20341316,-0.62051314,nan,-0.2036316,1.01814657e-19,-0.025336877,-0.09556564,-0.97909915,0.0,0.0,0.0,0.0,0.0,0.0,-0.012266427,-0.048354853,-0.532312
77234766,-0.20341316,-0.62051314,nan,-0.2036316,3.3437594e-20,-0.043407947,-0.12884423,-0.9857787,0.0,0.0,-0.50941503,0.0,0.0,0.0,-0.013025146,-0.050836675,-0.53976667
77336509,-0.20341316,-0.62051314,nan,-0.2036316,1.1098175e-20,-0.061468575,-0.16098161,-1.1411245,0.0,0.0,-2.544275,0.0,0.0,0.0,-0.015606836,-0.050672352,-0.56557417
77435264,-0.20341316,-0.62051314,nan,-0.2036316,3.7846635e-21,-0.077632286,-0.19167766,-1.4064112,0.0,0.0,-1.9348267,0.0,0.0,0.0,-0.018519973,-0.053807203,-0.5993024
