timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
72429696,0.0,0.0,0.0,0.0
72633681,0.0,0.0,0.0,0.0
72834674,0.0,0.0,0.0,0.0
73038681,0.0,0.0,0.0,0.0
73241706,0.0,0.0,0.0,0.0
73442694,0.0,0.0,0.0,0.0
73643674,0.0,0.0,0.0,0.0
73843758,0.0,0.0,0.0,0.0
74046681,0.0,0.0,0.0,0.0
74246690,0.0,0.0,0.0,0.0
74447706,0.0,0.0,0.0,0.0
74651688,0.0,0.0,0.0,0.0
74854691,0.0,0.0,0.0,0.0
75055703,0.0,0.0,0.0,0.0
75256690,0.0,0.0,0.0,0.0
75460684,0.0033858246,0.0017455805,7.395404e-05,0.0
75665698,0.01223432,0.0074085644,0.00028002413,0.0
75865690,0.02129192,0.013031092,0.0004850767,0.0
76069915,0.030474104,0.018870322,0.0007028161,0.0
76678687,0.020351652,0.026614375,0.0022348184,0.0
76883691,0.014182024,0.02537588,0.00617487,0.0
77083685,0.0084632775,0.023131896,0.009792993,0.0
77287695,0.0035634718,0.021521766,0.013444586,0.0
77492682,-0.00030106254,0.022147093,0.018340675,0.0
77692695,-0.0026301646,0.0219426,0.023168877,0.0
77896704,-0.0048714117,0.023134537,0.027392287,0.0
78099697,-0.0069974875,0.02361104,0.031262446,0.0
78302764,-0.009467336,0.02353661,0.03543451,0.0
78505680,-0.010444296,0.022135913,0.038910177,0.0
78705692,-0.012706106,0.022390872,0.04213572,0.0
78906701,-0.015767816,0.022448013,0.046007816,0.0
79110686,-0.01880123,0.020272717,0.049894605,0.0
79314680,-0.020444863,0.018912293,0.051607057,0.0
79515688,-0.01823407,0.018866515,0.052567206,0.0
79719708,-0.019771045,0.018521853,0.054090004,0.0
79924682,-0.023287468,0.020525584,0.05705742,0.0
80124689,-0.025196133,0.022346746,0.061155595,0.0
80329684,-0.028658116,0.02076808,0.06628872,0.0
80531693,-0.030477399,0.020504775,0.06651659,0.0
80733677,-0.029056821,0.016603969,0.0639157,0.0
80933686,-0.027468324,0.015464694,0.06148012,0.0
81138687,-0.028732514,0.013731805,0.059472132,0.0
81340700,-0.029903177,0.009809628,0.058648232,0.0
81542676,-0.029374301,0.006359314,0.058176983,0.0
81746698,-0.028352996,0.002919929,0.05914751,0.0
81951698,-0.02717548,-0.0010947377,0.061396077,0.0
82151700,-0.024677524,-0.0044719623,0.06356385,0.0
82356678,-0.023384836,-0.0075040264,0.06574914,0.0
82558704,-0.019810965,-0.008886155,0.066070564,0.0
82761749,-0.019371463,-0.009572571,0.06549829,0.0
82964698,-0.018786862,-0.0127195325,0.06552167,0.0
83165678,-0.01700845,-0.014910789,0.06683232,0.0
83365686,-0.019178506,-0.021872237,0.06999753,0.0
83566703,-0.018887691,-0.023514774,0.07264697,0.0
83769724,-0.0182348,-0.023538051,0.073511876,0.0
83973693,-0.018026859,-0.023801219,0.0736236,0.0
84174704,-0.017990053,-0.024122259,0.073955275,0.0
84375704,-0.017392086,-0.025665984,0.07470553,0.0
84577688,-0.017241962,-0.027112322,0.075568475,0.0
84783684,-0.015874969,-0.028434098,0.076265916,0.0
84987848,-0.014436654,-0.029314514,0.07633654,0.0
85192685,-0.01554896,-0.030875495,0.07561243,0.0
85396872,-0.015210377,-0.028749144,0.074803345,0.0
85599680,-0.015324593,-0.029268486,0.074847676,0.0
85800686,-0.0149598075,-0.03102465,0.075656645,0.0
86000691,-0.01464395,-0.031822126,0.07658261,0.0
86201693,-0.014995152,-0.032609947,0.07755633,0.0
86403689,-0.013969622,-0.033024196,0.07702558,0.0
86604689,-0.014220308,-0.031974543,0.075495794,0.0
86809691,-0.015461644,-0.032602943,0.075274564,0.0
87010712,-0.013325994,-0.03402105,0.075018704,0.0
87209691,-0.012653669,-0.03595538,0.07440166,0.0
87414695,-0.012871448,-0.035169534,0.07297436,0.0
87614692,-0.013441027,-0.033403154,0.07124586,0.0
87819692,-0.011457347,-0.034910835,0.06982446,0.0
88027690,-0.011796575,-0.03223711,0.06929381,0.0
88228690,-0.010650449,-0.03226545,0.069082454,0.0
88432693,-0.009139667,-0.035753697,0.06887698,0.0
88633686,-0.0062326216,-0.037936065,0.0681279,0.0
88832705,-0.0019251835,-0.03947713,0.06681449,0.0
89035697,-0.0028397865,-0.039367985,0.066770114,0.0
89236694,-0.0006522053,-0.03941484,0.067158684,0.0
89436696,0.0011295083,-0.040989622,0.068572074,0.0
89637683,0.00244367,-0.041623775,0.068092294,0.0
89841698,0.0013820035,-0.041844096,0.066498876,0.0
90044681,0.0014470755,-0.04123442,0.065132104,0.0
90246876,0.001371747,-0.042208284,0.06433459,0.0
90450689,0.0012979199,-0.042665206,0.06353054,0.0
90653690,0.0013198816,-0.043893322,0.06125438,0.0
90855676,0.0010146822,-0.04528267,0.060521826,0.0
91059691,0.0015508018,-0.045743924,0.060114227,0.0
91262691,0.0017672367,-0.04682648,0.05974394,0.0
91464698,0.002701556,-0.047536116,0.05879717,0.0
91668693,0.0034437007,-0.048903994,0.05746235,0.0
91873687,0.0051410724,-0.050141368,0.05809995,0.0
92078677,0.005881978,-0.049145482,0.058463447,0.0
92283690,0.006054446,-0.049410343,0.058592718,0.0
92487693,0.0066002673,-0.05288275,0.057849117,0.0
92692693,0.0062325536,-0.052506752,0.057238813,0.0
