timestamp,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var
72370822,0.5,0.010000001,nan,nan,nan,5.0
72527049,0.5,0.010000001,nan,nan,nan,5.0
72610141,0.5,0.010000001,nan,nan,nan,5.0
72731205,0.5,0.010000001,nan,nan,nan,5.0
72825932,0.5,0.010000001,nan,nan,nan,5.0
72926012,0.5,0.010000001,nan,nan,nan,5.0
73019275,0.5,0.010000001,nan,nan,nan,5.0
73116123,0.5,0.010000001,nan,nan,nan,5.0
73238387,0.5,0.010000001,nan,nan,nan,5.0
73315992,0.5,0.010000001,nan,nan,nan,5.0
73443860,0.5,0.010000001,nan,nan,nan,5.0
73544886,0.5,0.010000001,nan,nan,nan,5.0
73647848,0.5,0.010000001,nan,nan,nan,5.0
73740040,0.5,0.010000001,nan,nan,nan,5.0
73839291,0.5,0.010000001,nan,nan,nan,5.0
73942086,0.5,0.010000001,nan,nan,nan,5.0
74041889,0.5,0.010000001,nan,nan,nan,5.0
74139949,0.5,0.010000001,nan,nan,nan,5.0
74247842,0.5,0.010000001,nan,nan,nan,5.0
74359918,0.5,0.010000001,nan,nan,nan,5.0
74437396,0.5,0.010000001,nan,nan,nan,5.0
74540261,0.5,0.010000001,nan,nan,nan,5.0
74663451,0.5,0.010000001,nan,nan,nan,5.0
74759193,0.5,0.010000001,nan,nan,nan,5.0
74861058,0.5,0.010000001,nan,nan,nan,5.0
74954639,0.5,0.010000001,nan,nan,nan,5.0
75071093,0.5,0.010000001,nan,nan,nan,5.0
75149092,0.5,0.010000001,nan,nan,nan,5.0
75251066,0.5,0.010000001,nan,nan,nan,5.0
75348298,0.5,0.010000001,nan,nan,nan,5.0
75456230,0.5,0.010000001,nan,nan,nan,5.0
75558105,0.5,0.010000001,nan,nan,nan,5.0
75659863,0.5,0.010000001,nan,nan,nan,5.0
75767468,0.5,0.010000001,nan,nan,nan,5.0
75864816,0.5,0.010000001,nan,nan,nan,5.0
75987368,0.5,0.010000001,nan,nan,nan,5.0
76084758,0.5,0.010000001,nan,nan,nan,5.0
76596018,0.5,0.010000001,nan,nan,nan,5.0
76786830,0.5,0.010000001,nan,nan,nan,5.0
76908931,0.5,0.010000001,nan,nan,nan,5.0
76985900,0.5,0.010000001,nan,nan,nan,5.0
77108001,0.5,0.010000001,nan,nan,nan,5.0
77209805,0.5,0.010000001,nan,nan,nan,5.0
77313680,0.5,0.010000001,nan,nan,nan,5.0
77410384,0.5,0.010000001,nan,nan,nan,5.0
77508135,0.5,0.010000001,nan,nan,nan,5.0
77609997,0.5,0.010000001,nan,nan,nan,5.0
77706823,0.5,0.010000001,nan,nan,nan,5.0
77804956,0.5,0.010000001,nan,nan,nan,5.0
77907920,0.5,0.010000001,nan,nan,nan,5.0
78008277,0.51915866,0.0022306195,0.22787249,5.225391,0.0011041358,3.875163
78108408,0.53503996,0.0011719931,0.0056470186,3.6013443,9.838554e-07,2.8936627
78203870,0.5270271,0.0007262638,1.6139194,2.5751622,0.11238713,2.259645
78326795,0.51439667,0.0004252803,0.10537529,1.8765272,0.0006574764,1.5570112
78420370,0.5175535,0.00029193333,0.06670368,1.444141,0.00034233194,1.2124112
78516210,0.5139874,0.00020766765,0.28018814,1.0867189,0.008026751,1.0
78614164,0.5191719,0.00015702716,-0.5201957,1.0642091,0.028252969,1.0
78715893,0.52252203,0.00012771689,0.22514322,1.1512784,0.004892095,1.0264628
78818220,0.52260137,0.000107986925,-0.57606244,1.0406687,0.035431057,1.0
78916443,0.51854664,9.439548e-05,1.820253,1.0445448,0.3524471,1.1186752
79018319,0.5186385,8.477865e-05,-0.1263156,1.0274514,0.0017254808,1.0
79126254,0.52159595,7.7029086e-05,0.118973345,1.0489085,0.0014994061,1.0
79229351,0.5225501,7.118751e-05,1.2377691,1.0179847,0.16722281,1.0622877
79330191,0.5191833,6.7987356e-05,-0.85505724,1.2164899,0.06677892,1.2155442
79431011,0.5219922,6.506423e-05,-1.1247818,1.169531,0.120193884,1.1094412
79530840,0.5247586,6.169046e-05,-0.9846022,1.0161508,0.10600368,1.0
79630107,0.5318281,5.8015918e-05,-1.9314291,1.053236,0.3935404,1.0
79729995,0.5322803,5.4798784e-05,1.1843257,1.2299956,0.12670572,1.3558055
79838077,0.5359934,5.2136063e-05,-0.9943832,1.1411353,0.09627819,1.0248436
79935053,0.53414834,4.8843387e-05,1.2179787,1.0304934,0.15995273,1.081182
80037451,0.5311431,4.5285393e-05,0.96212816,1.0469646,0.09824067,1.0
80139188,0.52640766,4.2065716e-05,1.053721,1.204259,0.10244454,1.0810695
80237853,0.519437,3.9524297e-05,2.9732323,1.0159671,0.9667974,1.0791628
80356277,0.51628834,3.7206344e-05,0.027588874,1.0359479,8.163709e-05,1.0227048
80451360,0.51374644,3.5759742e-05,1.7158533,1.0111561,0.32351887,1.0
80563095,0.5155737,3.46274e-05,-1.3566957,1.3695036,0.14933416,1.4074416
80664808,0.5143853,3.379989e-05,1.5136302,1.1112683,0.22907522,1.1204196
80763164,0.51442844,3.2890217e-05,-0.56986487,1.0452824,0.03451975,1.0
80859737,0.5176563,3.2020387e-05,-1.416465,1.4859653,0.15002392,1.3702006
80966304,0.51734793,3.1174906e-05,0.8991525,1.1218553,0.080073245,1.1414725
81059488,0.51590925,3.0140842e-05,1.0450714,1.0865709,0.1116841,1.0364834
81168396,0.5153352,2.9061102e-05,-0.36022186,1.0109476,0.014261625,1.0
81271338,0.5149567,2.8035587e-05,-0.7161009,1.0107198,0.056373518,1.0
81371284,0.5153892,2.7084636e-05,-0.48274842,1.0103699,0.02562824,1.0
81469172,0.515327,2.6194282e-05,0.5293191,1.0101908,0.030816918,1.0
81574239,0.5141221,2.5365685e-05,0.8211429,1.0099247,0.07418328,1.0
81674203,0.5141333,2.458261e-05,-0.055193067,1.0098461,0.00033517482,1.0
81771322,0.51382285,2.3849107e-05,0.3024267,1.0095588,0.010066213,1.0
81872313,0.5130915,2.3161827e-05,0.79076517,1.009396,0.06883209,1.0
81976177,0.512279,2.2519624e-05,0.39928055,1.0091801,0.017552748,1.0
82077169,0.51175916,2.1913522e-05,0.48179126,1.0090833,0.025559265,1.0
82196880,0.5115557,2.1217387e-05,0.01636967,1.0084804,2.9523642e-05,1.0
82277447,0.5110321,2.087576e-05,0.53498405,1.0074553,0.031565547,1.0
82385000,0.5111476,2.0546455e-05,0.59612495,1.0059896,0.03924991,1.0
82507258,0.5121276,2.0175708e-05,-0.06702286,1.0064238,0.00049593236,1.0
