timestamp,error_count,device_id,pressure,temperature
72412350,0,5333009,1021.83496,24.75
73426257,0,5333009,1021.755,24.75
74412042,0,5333009,1021.9125,24.875
75425164,0,5333009,1021.64746,24.8125
77429255,0,5333009,1021.76996,24.8125
78416095,0,5333009,1021.51996,24.8125
79426954,0,5333009,1021.105,24.75
80439743,0,5333009,1021.1,24.8125
81427133,0,5333009,1021.14996,24.875
82439158,0,5333009,1021.20996,24.875
83427050,0,5333009,1021.21747,24.8125
84441365,0,5333009,1021.17,24.75
85429111,0,5333009,1021.01996,24.5625
86441861,0,5333009,1021.3525,24.5625
87454244,0,5333009,1021.1725,24.5625
88440371,0,5333009,1020.9125,24.5
89452174,0,5333009,1020.94,24.6875
90466424,0,5333009,1021.0375,24.8125
91453782,0,5333009,1020.9075,24.8125
92465174,0,5333009,1020.8775,24.8125
93454230,0,5333009,1020.97,24.875
94465747,0,5333009,1020.7475,24.8125
95455163,0,5333009,1020.88745,24.75
96470157,0,5333009,1020.915,24.5625
97459638,0,5333009,1021.32745,24.5
98473864,0,5333009,1021.5375,24.375
99459823,0,5333009,1021.345,24.375
100470162,0,5333009,1021.02747,24.4375
101480175,0,5333009,1020.94,24.5
102470384,0,5333009,1020.95996,24.5625
103484231,0,5333009,1021.1225,24.5
104472224,0,5333009,1021.0625,24.5
105486774,0,5333009,1020.7525,24.5
106476237,0,5333009,1020.3725,24.5
107491439,0,5333009,1020.045,24.4375
108481753,0,5333009,1019.96747,24.4375
109494246,0,5333009,1020.08997,24.4375
110481175,0,5333009,1020.2925,24.5
111494176,0,5333009,1020.14246,24.3125
112505755,0,5333009,1020.245,24.125
113496967,0,5333009,1020.13,24.0625
114508760,0,5333009,1019.99,24.0
115497149,0,5333009,1020.0375,24.0
116508392,0,5333009,1019.88745,23.875
117494836,0,5333009,1019.70746,23.625
118504439,0,5333009,1019.64246,23.5625
119493825,0,5333009,1019.5475,23.5625
120507442,0,5333009,1019.39746,23.5625
123523435,0,5333009,1019.115,23.1875
124511773,0,5333009,1019.07,23.1875
125524833,0,5333009,1019.26996,23.1875
126515759,0,5333009,1019.0025,23.0625
127528947,0,5333009,1019.1675,23.0625
128515227,0,5333009,1019.01245,22.9375
129526158,0,5333009,1019.235,22.9375
130512299,0,5333009,1019.1625,22.8125
131528198,0,5333009,1019.1775,22.75
132538261,0,5333009,1019.02997,22.4375
133526669,0,5333009,1018.70496,22.375
134540457,0,5333009,1019.21246,22.375
135529040,0,5333009,1019.23,22.3125
136544242,0,5333009,1019.13745,22.1875
137531753,0,5333009,1019.27246,22.125
138547414,0,5333009,1019.13495,21.9375
139538262,0,5333009,1018.88995,22.0
140553079,0,5333009,1018.8675,21.875
141541092,0,5333009,1019.26746,21.9375
142557309,0,5333009,1019.5525,22.0
143568182,0,5333009,1019.24,21.9375
144556151,0,5333009,1019.08997,21.9375
145569453,0,5333009,1019.0325,21.6875
146579393,0,5333009,1019.13495,21.5
147569023,0,5333009,1019.06,21.375
148560248,0,5333009,1019.055,21.1875
149573249,0,5333009,1019.08496,21.0625
150586969,0,5333009,1019.08246,20.875
151574200,0,5333009,1019.2875,20.8125
152587745,0,5333009,1019.235,20.5625
153574979,0,5333009,1019.1725,20.375
154586875,0,5333009,1019.20245,20.125
155601977,0,5333009,1019.035,20.0
156587673,0,5333009,1018.88745,20.0
157600161,0,5333009,1019.2425,20.0625
158614975,0,5333009,1019.81,20.0625
159600450,0,5333009,1019.8575,20.0625
160614195,0,5333009,1019.64246,19.9375
161602270,0,5333009,1019.4275,19.8125
162613173,0,5333009,1019.33496,19.75
163625789,0,5333009,1019.1925,19.625
164640747,0,5333009,1018.945,19.5625
165626040,0,5333009,1018.975,19.5625
166636034,0,5333009,1019.0675,19.5
167650166,0,5333009,1018.935,19.4375
168642208,0,5333009,1018.52246,19.3125
169628430,0,5333009,1018.75995,19.375
170640053,0,5333009,1019.13995,19.375
171653102,0,5333009,1019.2475,19.4375
172643182,0,5333009,1019.1875,19.4375
173655454,0,5333009,1019.26996,19.375
174669754,0,5333009,1019.1925,19.3125
175659342,0,5333009,1019.33246,19.3125
176674942,0,5333009,1019.31,19.3125
177662821,0,5333009,1019.3625,19.25
178678245,0,5333009,1019.15247,19.0625
179667322,0,5333009,1019.32,18.875
180679234,0,5333009,1019.68,18.9375
181669280,0,5333009,1019.70746,18.9375
182683411,0,5333009,1019.5575,18.9375
183671751,0,5333009,1019.52997,18.875
184685318,0,5333009,1019.415,18.875
185674159,0,5333009,1019.1825,18.6875
186687171,0,5333009,1019.2925,18.625
187675239,0,5333009,1019.11,18.5
188688469,0,5333009,1018.83997,18.4375
189676238,0,5333009,1018.62,18.4375
190691239,0,5333009,1018.8025,18.5
191678669,0,5333009,1019.02997,18.5625
192689092,0,5333009,1019.13,18.5625
193678669,0,5333009,1019.1075,18.5625
194693312,0,5333009,1019.115,18.5625
195681031,0,5333009,1019.185,18.5625
196693398,0,5333009,1019.1625,18.5
197707427,0,5333009,1019.25995,18.5625
