timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,id,is_powering_off,warning
72425172,12.8248,12.913174,2.9511998,2.4665039,0.0,2.1684585,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
73425166,12.972401,12.906711,2.3312,2.3523865,0.0,2.8187485,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
74428106,12.906799,12.904922,2.6411998,2.3148527,0.0,3.4626584,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
75426273,12.906799,12.893694,11.8172,6.171264,0.0,4.9354105,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
77435691,11.7095995,12.381099,50.778,48.735764,0.0,27.986267,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
78435167,11.89,12.201394,50.778,50.507202,0.0,42.083862,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
79436463,12.447599,12.276039,37.2868,45.633106,0.0,55.362682,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
80445396,12.496799,12.202445,50.778,49.93075,0.0,69.42432,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
81445351,11.89,12.183492,50.778,50.410984,0.0,83.37243,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
82445486,12.447599,12.140428,50.778,50.729362,0.0,97.47932,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
83445167,12.3984,12.13122,50.778,50.77081,0.0,111.57947,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
84445351,11.9966,12.133327,50.778,50.777092,0.0,125.687065,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
85445169,12.0868,12.172767,50.778,50.204697,0.0,139.64168,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
