timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
74469780,74469679,-0.012574248,0.000817128,-0.022413336
74490663,74490560,-0.008631615,0.0017141507,-0.008400964
74510662,74510561,0.012666583,0.0011006126,0.010885945
74533675,74533574,0.007719181,0.003920622,0.0047193216
74553663,74553560,0.0026080143,0.0009109986,0.014060414
74573724,74573623,-0.014315961,-0.0010652128,-0.016280849
74597657,74597551,-0.00016196718,0.00025267276,-0.0025836462
74622655,74622552,-0.0015156562,-0.0029163815,-0.017823432
74645662,74645551,-0.009881352,-0.003053214,-0.005235857
74665667,74665559,0.00536702,0.0013908015,-0.0018263517
74686736,74686635,0.0036141244,0.0035433383,0.005039604
74707659,74707558,0.003096569,0.002587535,0.007183577
74728658,74728552,-0.009231048,0.001639186,-0.0011013541
74749662,74749552,-0.00022908366,-0.004974788,-0.0048495373
74770664,74770563,-0.003931001,-0.0035218878,-0.009347101
74792676,74792551,-0.010281347,-0.0054458724,0.0019798274
74815670,74815562,0.0033112355,-0.0013275116,-0.004493091
74836666,74836563,-0.00097063975,-0.0011729205,0.014946895
74856659,74856558,0.01366096,-0.0010086866,-0.0042675505
74880660,74880551,0.002009282,0.0015035765,0.0071572987
74903676,74903575,-0.006453327,-0.005550583,-0.005373076
74924672,74924561,0.0027968993,-0.0047441097,-0.0012992026
74944666,74944561,-0.0060388604,-0.0019583402,0.0016449536
74966692,74966576,0.010802003,-0.004249274,-0.005933485
74987662,74987558,-0.00055019814,0.003928393,0.003196139
75007661,75007560,0.014143946,-0.006312758,-0.001670114
75030683,75030575,-0.0042602196,0.0060080276,-0.007759346
75050659,75050558,-0.000545384,0.010766263,0.005134598
75070673,75070570,0.0039825607,-0.00093848817,0.0019352181
75092655,75092554,0.0033637525,-0.0016819531,0.0073267817
75113838,75113735,-0.0017874342,-0.002399764,0.0026394026
75134672,75134564,0.0041699945,-0.0009856396,0.005258228
75157666,75157556,0.006270345,0.0034896082,-0.00047650142
75177663,75177560,-0.0043387557,0.0010220015,-0.012797897
75201669,75201556,-0.010213299,0.0060789837,-0.012944802
75221679,75221559,0.0022740024,0.0034639197,0.01245272
75246662,75246561,0.0059684403,-0.0015234048,0.0124980025
75267667,75267562,0.008767508,0.0027145003,-0.010995651
75289659,75289556,-0.009447847,0.00042097346,-0.009780559
75313654,75313550,-0.014771996,0.0075734393,-0.014786694
75333669,75333558,-0.004750592,0.00093311956,0.0016412168
75357665,75357551,-0.00062853785,-0.004545017,0.022183971
75377663,75377555,0.01474974,0.0022824777,0.016366929
75401663,75401559,0.0011929155,0.009103599,0.0014187512
75426652,75426551,-0.00080915145,0.0127856145,0.007534039
75449656,75449552,-0.005339764,0.0054325773,-0.014311188
75470666,75470551,-0.0086029675,0.0033897078,-0.02414275
75489674,75489563,0.008756928,0.005103522,0.004675437
75513870,75513764,0.010212002,0.013110233,-0.0037573646
75537659,75537551,-0.001305871,0.017146267,-0.0009277299
75558659,75558556,-0.008904336,0.0076182354,-0.0042289025
75577668,75577562,0.011728127,-0.006578249,0.009840902
75600655,75600552,0.007749377,-0.001809878,0.017994417
75624661,75624560,0.0038914722,0.0015700853,0.0076184208
75645661,75645560,-0.006022949,0.0063941027,0.009480212
75665673,75665560,0.0047655557,-0.009245876,0.014824454
75689653,75689551,0.0063862097,-0.0013511432,0.0029369006
75713655,75713551,-0.016341032,0.005787693,-0.019391242
75736683,75736572,-0.00873826,-0.012562669,-0.022648275
75757661,75757551,0.003680712,-0.017232139,-0.014707319
75779659,75779558,0.0065501435,-0.0071125804,-0.00065157004
75801667,75801561,0.011734795,0.014631977,0.017566515
75825787,75825686,0.0101209665,0.0037870146,0.020137593
75848673,75848558,0.0016051971,-0.019984046,-0.012265103
75869656,75869552,-0.001415978,-0.024122166,-0.035095032
75889665,75889564,0.011524198,0.00010004995,-0.018798968
75913888,75913784,-0.016074464,0.023244234,-0.006821436
75936665,75936564,0.0052140965,-0.0021323697,-0.013016134
75956841,75956740,0.004644272,-0.0021480494,-0.0023522363
75977659,75977558,0.009070286,-0.0012220104,0.013929304
75999803,75999702,0.005400994,0.0042294487,0.0101435
76019657,76019551,-0.00057530403,0.0004899267,0.011858175
76040665,76040564,0.020049652,0.018388271,0.0032481016
76060744,76060640,0.012879211,0.004078462,0.016157575
76083666,76083562,-0.006759747,-0.028271051,0.0047314945
76103743,76103637,0.0070932684,-0.013449025,0.015741233
76123658,76123551,0.023166195,-0.007906928,0.005237099
76576676,76576563,-0.21352331,0.12131949,-0.099386
76596659,76596558,-0.25631416,0.15983434,-0.12844951
76618665,76618552,-0.19403115,0.16552126,-0.10345885
76639673,76639560,-0.17225954,0.12552834,-0.11226793
76659733,76659633,-0.18019566,0.1400384,-0.11925054
76683658,76683554,-0.19504398,0.097166404,-0.11309024
76747818,76747717,-0.29211307,0.103563696,-0.13360687
