timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
227988818,11,0,121,112,96,57,170
228912313,11,0,117,112,100,57,144
229964370,11,0,107,105,95,56,144
231004365,11,0,114,102,96,59,162
231924916,11,0,110,101,100,61,133
232951001,11,0,102,100,100,55,132
234002448,11,0,95,97,99,55,109
234923459,11,0,101,105,97,51,84
235965439,11,0,109,103,98,58,96
236990411,11,0,111,103,99,59,108
237920419,11,0,113,103,100,57,135
238950472,11,0,116,106,100,53,175
239892966,11,0,117,108,100,62,159
240910405,11,0,117,105,97,57,147
241975275,11,0,117,108,90,56,64
242999427,11,0,100,94,100,56,69
243918397,11,0,97,92,97,57,71
244956425,11,0,106,97,99,57,72
245912450,11,0,115,108,97,55,69
246922440,11,0,119,112,99,55,70
247974473,11,0,119,110,98,54,66
248913884,11,0,117,110,100,58,70
249961500,11,0,115,107,100,60,74
250965446,11,0,112,103,98,57,71
251994329,11,0,113,105,100,54,69
252918410,11,0,107,96,99,56,65
253966270,11,0,98,93,97,58,64
255008025,11,0,99,89,97,54,62
255926111,11,0,105,94,96,55,68
256972421,11,0,107,96,100,54,73
257927471,11,0,118,107,100,57,68
258920413,11,0,120,109,97,54,168
259971039,11,0,120,109,100,58,102
260902453,11,0,120,116,96,55,134
261931404,11,0,120,113,100,56,141
262976435,11,0,120,113,100,54,124
263894451,11,0,120,113,97,55,88
264924796,11,0,120,112,100,55,116
265905789,11,0,120,110,97,56,137
266897647,11,0,120,109,100,57,88
267935774,11,0,119,109,95,53,169
268979454,11,0,120,110,87,56,73
269907835,11,0,120,111,99,54,127
270932043,11,0,122,111,100,58,69
271968415,11,0,120,113,100,59,65
273019402,11,0,114,108,97,56,175
273929388,11,0,115,105,100,55,172
274979463,11,0,122,112,100,59,94
276013345,11,0,122,112,100,58,135
276968316,11,0,122,112,100,55,74
277967914,11,0,119,111,97,58,132
279004415,11,0,118,108,99,60,118
279923407,11,0,113,105,98,56,85
280967416,11,0,112,101,100,53,89
281902411,11,0,103,94,99,57,175
282969441,12,0,108,96,100,59,77
283981424,12,0,107,97,93,65,134
285006405,12,0,105,95,99,53,67
285925411,13,0,98,93,100,54,64
286972408,13,0,109,95,95,55,65
287918244,13,0,111,100,96,58,64
288921431,13,0,119,108,96,55,72
289973411,13,0,123,113,100,56,70
290900415,13,0,126,114,100,55,65
291927398,13,0,126,115,96,58,66
292976432,13,0,115,105,97,56,69
294005061,13,0,118,106,96,54,62
294927422,13,0,121,110,100,53,66
295983827,13,0,121,110,90,61,65
296906481,13,0,118,107,100,55,69
297925837,13,0,122,111,100,59,68
298965415,13,0,121,112,96,54,65
299907180,13,0,119,109,97,56,68
300945410,13,0,120,110,96,60,68
301969301,13,0,119,111,98,56,71
303024415,13,0,115,107,94,56,72
303896943,13,0,116,107,100,56,66
305099952,13,0,110,106,95,56,71
306007415,13,0,102,98,95,59,63
306934411,13,0,101,94,95,59,64
307984969,13,0,100,91,100,56,64
308910312,13,0,109,97,96,53,67
309936232,13,0,117,102,100,58,65
310970905,13,0,120,106,96,55,66
312014423,13,0,120,116,97,54,68
312936903,13,0,120,114,97,56,68
313984481,13,0,118,111,96,50,71
314931479,13,0,116,108,98,58,71
315935243,13,0,115,106,97,54,67
316902415,13,0,113,105,100,58,93
317907402,13,0,106,100,100,55,70
318946487,13,0,103,96,96,55,118
319984411,14,0,101,87,98,54,182
320921407,14,0,101,89,100,57,75
321957415,14,0,99,90,95,54,116
322986967,14,0,98,89,99,57,98
323911419,14,0,99,91,100,56,99
324937423,14,0,98,90,100,59,172
325997686,14,0,98,89,94,57,174
326916402,14,0,101,88,97,55,130
327949154,14,0,109,100,97,54,122
328990236,14,0,109,100,100,53,199
329925988,14,0,109,99,100,57,158
330960169,14,0,108,98,96,56,91
331987813,14,0,108,98,97,54,116
332914234,14,0,104,95,100,54,115
333962188,14,0,100,92,95,57,181
334995301,14,0,97,102,99,54,136
335928441,14,0,98,94,97,56,77
336952415,14,0,98,92,100,56,68
338006391,14,0,103,94,95,55,108
338931420,14,0,107,97,100,57,69
339956466,14,0,109,99,96,57,154
341008228,14,0,114,105,89,59,69
342048403,14,0,112,105,86,58,159
342959489,14,0,116,103,100,59,71
343994419,14,0,121,111,100,57,72
344916133,14,0,121,111,97,59,67
345963820,14,0,121,110,96,57,99
347003270,14,0,121,110,96,56,81
347922411,14,0,120,110,100,52,68
348964441,14,0,120,110,99,57,114
349915122,14,0,121,111,100,57,72
350919877,14,0,121,111,98,53,66
351956215,14,0,121,110,100,57,66
353017710,14,0,121,110,90,52,67
353934685,14,0,122,113,99,53,67
354963932,14,0,118,108,97,58,65
355904070,14,0,119,111,100,54,70
356938425,14,0,120,111,96,54,129
357976405,14,0,119,108,93,55,68
359021407,14,0,116,106,99,59,79
359935419,14,0,109,98,97,56,79
360984179,14,0,116,102,85,57,72
361897422,14,0,124,116,97,55,71
362940993,14,0,124,116,100,58,64
363955927,14,0,120,114,97,60,71
365025218,14,0,106,99,96,58,69
365917438,14,0,103,95,100,53,68
366967420,14,0,106,93,100,52,130
369050145,14,0,107,98,100,58,67
369962915,14,0,102,93,98,56,71
371007191,14,0,104,94,98,51,67
371928736,14,0,102,92,100,53,90
372978428,14,0,108,98,100,58,69
373898696,14,0,115,105,98,56,72
374946749,14,0,118,106,99,58,63
375902425,14,0,120,112,97,58,65
376914399,14,0,120,112,100,58,162
377943000,14,0,119,109,100,53,158
378973423,14,0,119,109,97,60,71
