timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
74634809,0.9941726,-0.017492779,-0.025625791,-0.103239246,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
74683796,0.99416435,-0.017508786,-0.025606083,-0.10332016,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
74736807,0.9941553,-0.017509148,-0.025626399,-0.10340276,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
74790852,0.9941427,-0.01763088,-0.025714796,-0.10348073,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
74843799,0.9941411,-0.01761,-0.025792833,-0.1034804,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
74897042,0.99413526,-0.017543908,-0.025837937,-0.103536785,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
74946724,0.99412644,-0.017632613,-0.02595943,-0.10357617,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
74999717,0.9941238,-0.017559612,-0.025997045,-0.10360336,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75053803,0.9941249,-0.017534692,-0.025915863,-0.103618756,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75102722,0.9941254,-0.017518364,-0.025997961,-0.10359462,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75155724,0.99412453,-0.01743753,-0.025923507,-0.10363642,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75204807,0.9941198,-0.017445974,-0.025921341,-0.103680685,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75258823,0.99411845,-0.017438943,-0.02578184,-0.10372958,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75311801,0.99412155,-0.0174352,-0.025704611,-0.103719406,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75365801,0.9941212,-0.017449833,-0.025685148,-0.10372531,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75414800,0.9941294,-0.017418804,-0.025584158,-0.10367697,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75469714,0.9941189,-0.017421003,-0.02555013,-0.10378488,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75521799,0.9941288,-0.017293556,-0.025440203,-0.10373822,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75575084,0.99413717,-0.017242841,-0.02541333,-0.1036735,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75625721,0.99413025,-0.017262237,-0.025322147,-0.10375947,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75677804,0.9941322,-0.017255023,-0.025408804,-0.10372009,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75730958,0.9941275,-0.01729562,-0.025272638,-0.103791624,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75785803,0.9941272,-0.017283058,-0.025455216,-0.10375257,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75833791,0.99412847,-0.017113991,-0.025370417,-0.10378929,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75886876,0.9941044,-0.017109038,-0.025790611,-0.10391723,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75937723,0.9941009,-0.016978351,-0.02557627,-0.10402396,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
75989795,0.9941165,-0.017011058,-0.025573406,-0.103871286,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76042777,0.9941282,-0.016824003,-0.025310105,-0.10385351,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76096817,0.99413323,-0.016679998,-0.025707105,-0.10373116,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76618807,0.99440604,0.0060492605,-0.004874711,-0.10533968,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76666738,0.99413997,0.0022206933,-0.0014199439,-0.10806816,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76769726,0.9934305,-0.008966865,0.0033134292,-0.114037685,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76876806,0.99268854,-0.009722299,0.00023604622,-0.12031188,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76929721,0.99238646,-0.011740501,0.0015719157,-0.12259208,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
76982969,0.9921627,-0.014913841,0.004525005,-0.12397666,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77032800,0.9919574,-0.019678554,0.0045975284,-0.12494832,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77085739,0.9917138,-0.023610048,0.005593004,-0.12615496,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77139791,0.9914555,-0.02709645,0.007855868,-0.12735865,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77188825,0.9913596,-0.02822945,0.0075366576,-0.12787658,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77241726,0.9912756,-0.028707707,0.0066438075,-0.1284692,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77290734,0.99102044,-0.03330332,0.005977901,-0.12935826,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77344800,0.99064267,-0.03756226,0.0054520075,-0.13109696,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77397717,0.99043083,-0.03646928,0.006324617,-0.13295448,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
