timestamp,saturation_status
72427755,1533
73428754,1533
74431772,1501
75429755,1
77434981,1
78436803,1
79439771,1
80443762,1
81443767,1
82444755,1
83445753,1
84446753,1
85452776,1
86454768,1
87459441,1
88460755,1
89466773,1
90467773,1
91467763,1
92470773,1
93472753,1
94474755,1
95475756,1
96476764,1
97478927,1
98479767,1
99481772,1
100482772,1
101485887,1
102485755,1
103486762,1
104488757,1
105487806,1
106490767,1
107492920,1
108491920,1
109493782,1
110496051,1
111495771,1
112494534,1
113498760,1
114496779,1
115498757,1
116499775,1
117500767,1
118501821,1
119506779,1
120510763,1
123518774,1
124519814,1
125521763,1
126523755,1
127524760,1
128525766,1
129530771,1
130529776,1
131532762,1
132532757,1
133537776,1
134544579,1
135544771,1
136549820,1
137548768,1
138550756,1
139554764,1
140556786,1
141561767,1
142571314,1
143572759,1
144572931,1
145577414,1
146578779,1
147580854,1
148581772,1
149585772,1
150585761,1
151590229,1
152589777,1
153597770,1
154599755,3
155606763,1
156608755,1
157613754,1
158618763,1
159621781,1
160624771,1
161625768,1
162631774,1
163640771,1
164642753,1
165645571,1
166645791,1
167645768,1
168646776,1
169648764,1
170649765,1
171653761,1
172660772,1
173663772,1
174667764,1
175671769,1
176676762,1
177677766,3
178677438,1
179679770,1
180681763,1
181682002,1
182685762,1
183686781,1
184685769,1
185688990,1
186690764,1
187690755,1
188690768,1
189692768,1
190693768,1
191693819,1
192695759,1
193696763,1
194698759,1
195698762,1
196698755,1
197706767,1
198707771,1
199708755,1
200708947,1
201710774,1
202713763,1
203718755,1
204721777,1
205721782,1
206724772,1
207724758,1
208726756,1
209733770,1
210736764,1
211742605,1
212743770,1
213740774,1
214749502,1
215750756,1
216750784,1
217750769,1
218750764,1
219753438,1
220758756,1
221759755,1
222761769,1
223764762,1
224766777,1
225764767,1
226769764,1
227773758,1
228774764,1
229782061,1
230785531,1
231783979,1
232787775,1
233788791,1
234787773,1
235788770,1
236793755,1
237796769,1
238796797,1
239797914,1
240799777,1
241801435,1
242807770,1
243807772,1
244807779,1
245811767,1
246811772,1
247811919,1
248813762,1
249816763,1
250815763,1
251816769,1
252819763,1
253817765,1
254820767,1
255820762,1
256820783,1
257821786,1
258823765,1
259825758,1
260830768,1
261831763,1
262839778,1
263839802,1
264845769,1
265848908,1
266855777,1
267857771,1
268859774,1
269859761,1
270859782,1
271863772,1
272864755,1
273868760,1
274868762,1
275869806,1
276870937,1
277870753,1
278870770,1
279873765,1
280874763,1
281877754,1
282879764,1
283879821,1
284881765,1
285883830,1
286886774,1
287886773,1
288888753,1
289893764,1
290895756,1
291899945,1
292904758,1
293904764,1
294906759,1
295906912,1
296908768,1
297913807,1
298916775,1
299916776,1
300918778,1
301918771,1
302921991,1
303923777,1
304922783,1
305922772,1
306925453,1
307926780,1
308929766,1
309930771,1
310930763,1
311934853,1
312933811,1
313936765,1
314933426,1
315937762,1
316938763,1
317937786,1
318941764,1
319943764,1
320941761,1
321941781,1
322946755,1
323948981,1
324951768,1
325955922,1
326959789,1
327960769,1
328959781,1
329962851,1
330962758,1
331965775,1
332963769,1
333966762,1
334964793,1
335969937,1
336973769,1
337973429,1
338975768,1
339976923,1
340978764,1
341980763,1
342982779,1
343985367,1
344987768,1
345987755,1
346988755,1
347991775,1
348992775,1
349990978,1
350994765,1
351995763,1
352999768,1
353999771,1
355006769,1
356007771,1
357010766,1
358008758,1
359011761,1
360011861,1
361014773,1
362011915,1
363014476,1
364016769,1
365017777,1
366022772,1
367023760,1
368023780,1
369026979,1
370025897,1
371027768,1
372028768,1
373027771,1
374028767,1
375035005,1
376035765,1
377035755,1
378035768,1
379036769,1
380042779,1
381045763,1
382045763,1
383050768,1
384055968,1
385055766,1
386059763,1
387059763,1
388061776,1
389061875,1
390063771,1
391063778,1
392064773,1
393067761,1
394068760,1
395068930,1
396071763,1
397075850,1
398079772,1
399085757,1
400086764,1
401088772,1
402096773,1
403100982,1
404100773,1
405105763,1
406107753,1
407109408,1
408109762,1
409112763,1
410118373,1
411120757,1
412123756,1
413124768,1
414125768,1
415128768,1
416131279,1
417132753,1
418132765,1
419133501,1
420133761,1
421136255,1
422140709,1
423141778,1
424143838,1
425145424,1
426149821,1
427149773,1
428149757,1
429152010,1
430154773,1
431154778,1
432160763,1
433161770,1
434162789,1
435166760,1
436166786,1
437166755,1
438165786,1
439172829,1
440170773,1
441181982,1
442184762,1
443187756,1
444187791,1
445194758,1
446192769,1
447192757,1
448197783,1
449198796,1
450201769,1
451200763,1
452199782,1
453205459,1
454203773,1
455205415,1
456208768,1
457209899,1
458211773,1
459212783,1
460215771,1
461217761,1
462220764,1
463219768,1
464219765,1
465227759,1
466227787,1
467233754,1
468233772,1
469237780,1
470245773,1
471247754,1
472246760,1
473249768,1
474249408,1
475247769,1
476251776,1
477251770,1
478254772,1
479258765,1
480258755,1
481261776,1
482263770,1
483265595,1
484265774,1
485266768,1
486268968,1
487268768,1
488272755,1
491280765,1197
492285763,1
493284786,1469
494285776,1197
495285778,1533
496291771,1533
497289808,1
