timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
72426776,0.01777795,-0.025554653,-0.010682682,0.013953313,0.01235342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,1.0526276,0.0,0.0,nan,0.0,0.0,0.028678805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72631800,-0.019178336,-0.0026824716,-0.039286405,0.007601604,0.014964044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,1.8113251,0.0,0.0,nan,0.0,0.0,0.034506246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72826805,-0.09452991,0.0012210938,-0.04961607,-0.0061131865,0.014366627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.1835556,0.0,0.0,nan,0.0,0.0,0.04241295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73030816,-0.006248042,-0.006468472,-0.06389033,-0.00024110079,0.013835251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.90296936,0.0,0.0,nan,0.0,0.0,0.04422009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73235933,-0.0354163,-0.028315956,-0.09000876,-0.003277421,0.014084578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.8281174,0.0,0.0,nan,0.0,0.0,0.026649535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73440716,0.027610457,0.04813355,-0.14119962,0.0068261325,0.026462495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.807045,0.0,0.0,nan,0.0,0.0,0.02689913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73635867,-0.017061941,0.047769964,-0.06278156,-0.0024280995,0.030465305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-2.0573425,0.0,0.0,nan,0.0,0.0,0.038722426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73843794,-0.047674097,0.017432818,-0.06983528,0.00397259,0.03363961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.18183899,0.0,0.0,nan,0.0,0.0,0.037970304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74044927,0.010914266,-0.021708531,-0.19277477,0.0020200163,0.028780878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.1812973,0.0,0.0,nan,0.0,0.0,0.023587108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74244797,-0.04107414,0.072707765,-0.1463623,0.0024355054,0.038603365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.76003265,0.0,0.0,nan,0.0,0.0,0.027526557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74445041,-0.084595494,0.06837818,-0.08595454,-0.0060966015,0.048971415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,1.0699539,0.0,0.0,nan,0.0,0.0,0.027914405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74644716,-0.053663824,0.017670635,-0.08248259,-0.008681238,0.048651755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.24055481,0.0,0.0,nan,0.0,0.0,0.008707568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74848731,-0.015618568,0.045703303,-0.052210808,-0.012051359,0.0536955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.4335251,0.0,0.0,nan,0.0,0.0,0.011978477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75053803,-0.093451336,0.0015496727,-0.17831057,-0.019610107,0.054929256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.9016113,0.0,0.0,nan,0.0,0.0,0.012430981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75248797,-0.037770133,-0.0038729226,-0.14509735,-0.017213166,0.050430417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.52243805,0.0,0.0,nan,0.0,0.0,0.011198804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75453724,-0.02591737,0.014796267,-0.24317285,-0.008134767,0.05860901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.46516418,0.0,0.0,nan,0.0,0.0,0.013352558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
