timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
71517317,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72522824,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73522943,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74526764,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75530735,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77544222,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78552986,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79555999,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80558885,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81558978,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82570974,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83582190,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84582339,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85592153,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86599487,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87605328,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88608317,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89617794,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90627363,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91635943,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92645763,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93648240,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94657760,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95663484,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96674942,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97683438,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98684396,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99697196,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100702995,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101703878,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102707109,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103707767,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104715711,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105723275,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106727219,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107735808,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108745097,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109756170,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110762276,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111764491,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112765889,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113770342,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114779103,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115790009,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116795885,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117805452,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118811391,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119822470,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120834060,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123860443,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124868333,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125883404,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126889990,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127899019,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128909118,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129912225,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130915984,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131921819,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132929173,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133932991,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134937495,69736738,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135721391,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136722397,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137722876,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138724199,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139731172,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140741391,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141750062,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142763439,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143765381,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144772361,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
