timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
72426776,5505042,0.00047070612,-0.00026006257,-0.00017428202,5373970,-0.006300366,0.009744203,0.0126803145,396809,0.0,0.0,0.0
73425817,5505042,0.0004759302,-0.00025311954,-6.689642e-05,5373970,-0.0063644527,0.009498376,0.017332712,396809,0.0,0.0,0.0
74424736,5505042,0.0004956142,-0.00023930137,2.7012062e-05,5373970,-0.006141233,0.00898521,0.024299353,396809,0.0,0.0,0.0
75423801,5505042,0.0005087271,-0.00022125003,6.723719e-05,5373970,-0.0057972744,0.008719398,0.030110965,396809,0.0,0.0,0.0
77431802,5505042,0.0005354264,-0.00016528515,7.364698e-05,5373970,-0.004285015,0.00890347,0.016224619,396809,0.0,0.0,0.0
78430797,5505042,0.0004802003,-0.00013790447,9.214325e-05,5373970,0.0047085485,0.014697189,0.0024299943,396809,0.0,0.0,0.0
79439809,5505042,0.00045756483,-0.00015447762,9.80006e-05,5373970,0.0034437166,0.0054878904,0.0028888586,396809,0.0,0.0,0.0
80443802,5505042,0.00044704764,-0.00014867773,9.856306e-05,5373970,-0.027459966,-0.012008437,0.021742763,396809,0.0,0.0,0.0
81441935,5505042,0.00044477129,-0.00014698747,9.955805e-05,5373970,-0.029289035,0.017267002,0.016453693,396809,0.0,0.0,0.0
82441810,5505042,0.00043907439,-0.00014126208,9.877087e-05,5373970,-0.015263779,0.04222141,-0.0041359914,396809,0.0,0.0,0.0
83440717,5505042,0.00043409385,-0.00013730186,9.7816184e-05,5373970,-0.0087688165,0.06479741,-0.013087393,396809,0.0,0.0,0.0
84439809,5505042,0.0004251078,-0.00013213673,9.7364355e-05,5373970,-0.014868527,0.09044764,-0.032226384,396809,0.0,0.0,0.0
85447719,5505042,0.00040957544,-0.00013596292,9.5203904e-05,5373970,-0.015445917,0.12073278,-0.038583167,396809,0.0,0.0,0.0
86441824,5505042,0.0003771691,-0.00015048348,0.00010029241,5373970,-0.010594105,0.14164849,-0.04900855,396809,0.0,0.0,0.0
87446820,5505042,0.000333478,-0.00015269499,0.000118453994,5373970,-0.022695137,0.1580717,-0.05725003,396809,0.0,0.0,0.0
88449714,5505042,0.00027223208,-0.00012587976,0.00013354751,5373970,-0.011017034,0.15711266,-0.057572626,396809,0.0,0.0,0.0
89449736,5505042,0.00019219711,-0.0001121873,0.00014751259,5373970,0.019362293,0.15992334,-0.035012398,396809,0.0,0.0,0.0
90448726,5505042,0.00015237994,-0.00012817411,0.00014773679,5373970,0.021793004,0.16373734,-0.0152753,396809,0.0,0.0,0.0
91447714,5505042,0.00012846517,-0.00016250409,0.00015142445,5373970,0.0064534247,0.16939972,0.0010560531,396809,0.0,0.0,0.0
92446716,5505042,7.906483e-05,-0.00021997519,0.00015332726,5373970,-0.019727627,0.1692378,0.005598826,396809,0.0,0.0,0.0
93455808,5505042,1.9032466e-05,-0.00025055782,0.0001471501,5373970,-0.030884158,0.16943008,0.010012753,396809,0.0,0.0,0.0
94454728,5505042,-1.1172725e-05,-0.00019650572,0.00017205297,5373970,-0.031776424,0.16073579,0.014942693,396809,0.0,0.0,0.0
95453930,5505042,2.9014962e-05,-3.9909097e-05,0.00025036352,5373970,-0.034580994,0.15747717,0.019671613,396809,0.0,0.0,0.0
96456723,5505042,4.376175e-05,0.00022705462,0.0002589781,5373970,-0.038929608,0.1617349,0.0059397933,396809,0.0,0.0,0.0
