timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
72429701,72429560,0.028071314,0.06383905,0.00017209798,0.001,0.0,0.0,0.0,-1.0
72530706,72530573,0.031578243,0.061240304,-0.001988169,0.001,0.0,0.0,0.0,-1.0
72633686,72633551,0.03385347,0.06935967,-2.9379316e-05,0.001,0.0,0.0,0.0,-1.0
72733693,72733549,0.03519111,0.062780276,-0.00092687685,0.001,0.0,0.0,0.0,-1.0
72834680,72834550,0.04207078,0.06659564,0.0019203093,0.001,0.0,0.0,0.0,-1.0
72936699,72936550,0.032298815,0.06451316,0.0023983486,0.001,0.0,0.0,0.0,-1.0
73037697,73037562,0.037193708,0.063252576,0.0026430667,0.001,0.0,0.0,0.0,-1.0
73140892,73140757,0.038291268,0.06472121,0.00036332256,0.001,0.0,0.0,0.0,-1.0
73240691,73240558,0.029872427,0.05930284,6.231116e-05,0.001,0.0,0.0,0.0,-1.0
73345690,73345550,0.031906556,0.063123114,0.0005185718,0.001,0.0,0.0,0.0,-1.0
73447688,73447554,0.033468094,0.0630225,0.0012501724,0.001,0.0,0.0,0.0,-1.0
73548687,73548550,0.036483407,0.06420734,0.0017743718,0.001,0.0,0.0,0.0,-1.0
73650739,73650592,0.03927656,0.06257436,0.0022145137,0.001,0.0,0.0,0.0,-1.0
73750692,73750549,0.035122007,0.0594035,0.0025499286,0.001,0.0,0.0,0.0,-1.0
73852816,73852686,0.034321602,0.0631669,0.0033734124,0.001,0.0,0.0,0.0,-1.0
73954694,73954558,0.03533257,0.06100843,0.0035292374,0.001,0.0,0.0,0.0,-1.0
74056711,74056567,0.033522267,0.06627328,0.003241092,0.001,0.0,0.0,0.0,-1.0
74157915,74157780,0.032719195,0.066768624,0.005567336,0.001,0.0,0.0,0.0,-1.0
74259692,74259560,0.040080335,0.06626497,0.0058713555,0.001,0.0,0.0,0.0,-1.0
74359700,74359563,-0.06799462,-0.15288958,-0.00042780116,0.0010223406,0.0,0.0,0.0,-1.0
74461699,74461558,0.044488546,-0.18433346,-0.00021512213,0.0029206744,0.0,0.0,0.0,-1.0
74564690,74564555,0.05165794,-0.17991117,0.0011330831,0.0010223406,0.0,0.0,0.0,-1.0
74665700,74665559,0.06906927,-0.17607512,0.0016422054,0.021559184,0.0,0.0,0.0,-1.0
74767707,74767553,0.07199946,-0.10765061,0.0035252713,0.03563258,0.0,0.0,0.0,-1.0
74868701,74868565,0.10482679,-0.06664479,0.0018919932,0.051075798,0.0,0.0,0.0,-1.0
74968697,74968552,0.07259205,-0.039581154,0.002469838,0.067542225,0.0,0.0,0.0,-1.0
75070707,75070570,0.051105816,-0.000975559,0.0014265125,0.086178966,0.0,0.0,0.0,-1.0
75172693,75172560,0.047401585,0.0045647626,0.0026870014,0.10671997,0.0,0.0,0.0,-1.0
75274692,75274560,0.05133378,0.0310373,-0.0011382038,0.12989913,0.0,0.0,0.0,-1.0
75377695,75377555,0.050359577,0.024900872,-0.0014307778,0.15288028,0.0,0.0,0.0,-1.0
75479693,75479551,0.04288365,0.044649538,-0.0010947605,0.18546797,0.0,0.0,0.0,-1.0
75582685,75582549,0.061822534,0.044040337,0.0028295082,0.20835085,0.0,0.0,0.0,-1.0
75684690,75684551,0.05652809,0.046850998,-0.00049438013,0.23440026,0.0,0.0,0.0,-1.0
75787711,75787574,0.08177307,0.041087974,0.0035189914,0.26863796,0.0,0.0,0.0,-1.0
75888701,75888551,0.06869678,0.04699745,0.005914968,0.30301988,0.0,0.0,0.0,-1.0
75991696,75991561,0.07990147,0.046708547,0.0038638727,0.34829247,0.0,0.0,0.0,-1.0
76093688,76093550,0.09593719,0.07303152,0.0023770714,0.39004055,0.0,0.0,0.0,-1.0
76604683,76604550,-0.004609121,-0.0067444425,0.025506824,0.48479775,0.0,0.0,0.0,-1.0
76806699,76806560,-0.06338331,0.018451855,0.045690883,0.4898255,0.0,0.0,0.0,-1.0
76908704,76908567,-0.023216186,0.028887123,0.045884233,0.4992385,0.0,0.0,0.0,-1.0
77009702,77009551,-0.019382134,0.028632497,0.042497005,0.5159712,0.0,0.0,0.0,-1.0
77112683,77112551,-0.035066415,-0.011179241,0.04462607,0.5304308,0.0,0.0,0.0,-1.0
77214695,77214551,-0.0627372,0.018424634,0.04403616,0.5390642,0.0,0.0,0.0,-1.0
77314689,77314550,0.008751687,0.028285045,0.05733764,0.5527603,0.0,0.0,0.0,-1.0
77415696,77415552,-0.042401023,0.0011246959,0.06688504,0.5977018,0.0,0.0,0.0,-1.0
77517683,77517550,-0.010139153,0.017938126,0.06601073,0.6008523,0.0,0.0,0.0,-1.0
77619687,77619555,-0.008426338,0.023147786,0.07054897,0.57035005,0.0,0.0,0.0,-1.0
77721932,77721794,-0.02123842,0.024116872,0.066068195,0.5520191,0.0,0.0,0.0,-1.0
77822688,77822552,-0.0048911776,0.025390621,0.068684235,0.5425377,0.0,0.0,0.0,-1.0
77921701,77921559,-0.016635686,0.06224249,0.06480595,0.5381104,0.0,0.0,0.0,-1.0
78024772,78024640,-0.035398424,0.008261872,0.068234675,0.5426368,0.0,0.0,0.0,-1.0
78125707,78125553,0.008709469,0.025429705,0.07108253,0.5451764,0.0,0.0,0.0,-1.0
