timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
75986918,0.01600937,-0.021877548,-0.20363161,2.6047547e-14,0.99473876,0.0068509104,-0.011695098,-0.10154354,0.0,0.0,-0.34829247,0,0,0,0,0
76084005,0.020362886,-0.016715229,-0.20363158,9.02584e-15,0.9947436,0.009278772,-0.009348592,-0.1015465,0.0,0.0,-0.39004055,0,0,0,0,0
76595411,-0.034903698,-0.0062688095,-0.20363161,3.5419523e-17,0.9946593,-0.017679036,-0.001343986,-0.10167843,0.0,0.0,-0.48479775,0,0,0,0,0
76908395,-0.07576432,0.0015652515,-0.20363158,1.1603224e-18,0.9941102,-0.037597466,0.004627434,-0.10153754,0.0,0.0,-0.5038005,0,0,0,0,0
77009418,-0.09162083,0.0006346328,-0.20363158,3.8749883e-19,0.993779,-0.04552502,0.0049698837,-0.10151888,0.0,0.0,-0.52124304,0,0,0,0,0
77107459,-0.09219143,0.003337929,-0.20363158,1.3305649e-19,0.99377096,-0.04567124,0.006342059,-0.10145536,0.0,0.0,-0.5327147,0,0,0,0,0
77209252,-0.097494565,0.0037759,-0.20363158,4.4101677e-20,0.9936471,-0.048283882,0.0068286425,-0.10142755,0.0,0.0,-0.5396546,0,0,0,0,0
77312956,-0.091361836,0.011608332,-0.20363158,1.4365617e-20,0.99379367,-0.044838462,0.010409367,-0.10126856,0.0,0.0,-0.5597418,0,0,0,0,0
77409504,-0.0917317,0.010770853,-0.20363161,4.9809008e-21,0.99378574,-0.045064867,0.010011978,-0.10128597,0.0,0.0,-0.5977018,0,0,0,0,0
77507125,-0.09912425,0.008215586,-0.2036316,1.7250547e-21,0.99361193,-0.048867863,0.00911688,-0.10131187,0.0,0.0,-0.6008523,0,0,0,0,0
77609257,-0.11049003,0.012762359,-0.2036316,5.700413e-22,0.99331915,-0.05428225,0.011950537,-0.101132326,0.0,0.0,-0.57035005,0,0,0,0,0
77705441,-0.12097088,0.013176899,-0.20363161,1.9961485e-22,0.99302095,-0.0594658,0.012686156,-0.10105571,0.0,0.0,-0.5520191,0,0,0,0,0
77804464,-0.12371447,0.012163771,-0.20363158,6.799233e-23,0.99293846,-0.060879543,0.012321823,-0.101069696,0.0,0.0,-0.5425377,0,0,0,0,0
