timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
73645713,15961736,32.387893700000006,-117.0745242,-0.1735594,-0.60695875,1.780767,0.0075267805,0.009844232,0.0,-0.035188705,0.008614067,-0.102776945,-0.20344321,0.091324784,0.04797906,-0.06365676,0.03772553,0.075698614,-0.23789276,-0.20349821,21.878475,0.15520537,0.36273232,0.24400473,0.16706738,0.10380184,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
73742730,15961736,32.387893700000006,-117.0745242,-0.1764791,-0.60943276,1.7811755,0.0075267805,0.009844232,0.0,-0.035042793,0.004010475,-0.10065331,-0.17983544,0.091324784,0.04797906,-0.06365676,-0.00045353704,0.020134665,-0.13274895,-0.20356445,21.878475,0.17110693,0.3746291,0.24435464,0.17174308,0.104211114,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
73851725,15961736,32.387893700000006,-117.0745242,-0.179736,-0.6119227,1.7807233,0.0075267805,0.009844232,0.0,-0.036341067,0.004375858,-0.098335244,-0.15809922,0.091324784,0.04797906,-0.06365676,-0.074247465,0.16591017,-0.06993702,-0.20400362,21.878475,0.13276792,0.36261857,0.24381611,0.16714634,0.10376295,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
73947852,15961736,32.387893700000006,-117.0745242,-0.18180439,-0.6145889,1.7691468,0.0075267805,0.009844232,0.0,-0.037069537,0.0061821644,-0.10073365,-0.15613155,0.091324784,0.04797906,-0.06365676,0.07149219,-0.15138885,0.023914946,-0.20403826,21.878475,0.10409653,0.37453896,0.2441829,0.17155503,0.104172826,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74054739,15961736,32.387893700000006,-117.0745242,-0.18687771,-0.6163553,1.7337677,0.0075267805,0.009844232,0.0,-0.06426466,0.01214247,-0.11292639,-0.18506181,0.091324784,0.04797906,-0.06365676,0.025125952,0.025875708,0.20418577,-0.20463751,21.878475,0.1,0.36376137,0.2443561,0.16774926,0.10391603,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74151733,15961736,32.387893700000006,-117.0745242,-0.1930154,-0.61671185,1.6913491,0.0075267805,0.009844232,0.0,-0.060949057,0.016667964,-0.12051389,-0.21442011,0.091324784,0.04797906,-0.06365676,0.3127242,0.40822086,0.45499396,-0.20495518,21.878475,0.1,0.37587896,0.24479964,0.17276177,0.1043179,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74254801,15961736,32.387893700000006,-117.0745242,-0.19804618,-0.61790025,1.6380013,0.0075267805,0.009844232,0.0,-0.062315986,0.01563407,-0.13132556,-0.2542689,0.091324784,0.04797906,-0.06365676,0.6366787,0.4221468,0.34277007,-0.2053204,21.878475,0.1,0.36369395,0.2441193,0.16768986,0.1038643,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74356828,15961736,32.387893700000006,-117.0745242,-0.20332009,-0.62051904,1.5886664,0.0075267805,0.009844232,0.0,-0.06146371,0.014623116,-0.14624153,-0.28972644,0.091324784,0.04797906,-0.06365676,0.80979973,0.19967046,0.39536452,-0.20544885,21.878475,0.1,0.37529528,0.24424279,0.17226106,0.104234256,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74454807,15961736,32.387893700000006,-117.0745242,-0.20699464,-0.623213,1.544318,0.0075267805,0.009844232,0.0,-0.06470884,0.0178949,-0.16225062,-0.31914523,0.091324784,0.04797906,-0.06365676,-0.9174146,-0.36312863,-0.21091321,-0.2053975,21.878475,0.1,0.36262795,0.24506405,0.16722046,0.10407746,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74561768,15961736,32.387893700000006,-117.0745242,-0.2092272,-0.627678,1.4984561,0.0075267805,0.009844232,0.0,-0.055541098,0.017577928,-0.16923453,-0.33366498,0.091324784,0.04797906,-0.06365676,-0.2933968,-0.20664063,0.24693064,-0.20582682,21.878475,0.1,0.37646422,0.24477962,0.17263858,0.104382604,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74660731,15961736,32.387893700000006,-117.0745242,-0.21072982,-0.6311676,1.4668751,0.0075267805,0.009844232,0.0,-0.05371738,0.0151871415,-0.17546228,-0.33633927,0.091324784,0.04797906,-0.06365676,-0.41140017,-0.033275105,-0.21042176,-0.20614186,21.878475,0.12012243,0.36386338,0.24384691,0.1674875,0.103791475,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74765973,15961736,32.387893700000006,-117.0745242,-0.21224144,-0.6349273,1.4300538,0.0075267805,0.009844232,0.0,-0.050245665,0.012935794,-0.17654954,-0.33536956,0.091324784,0.04797906,-0.06365676,0.2719782,0.012362811,-0.019613218,-0.20668745,21.878475,0.112485886,0.3777723,0.24542567,0.17273481,0.104566745,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
