timestamp,error_count,device_id,temperature,clipping[0],clipping[1],clipping[2],full_scale_range,vibration_metric,measure_rate_hz,rotation
72340692,0,5373970,24.0,0,0,0,156.9064,0.0071915444,1000,0
73359980,0,5373970,23.039999,0,0,0,156.9064,0.007529324,1000,0
74376962,0,5373970,23.039999,0,0,0,156.9064,0.007880302,1000,0
75398488,0,5373970,24.0,0,0,0,156.9064,0.008908459,1000,0
77434737,0,5373970,23.039999,0,0,0,156.9064,0.014409225,1000,0
78350022,0,5373970,23.039999,0,0,0,156.9064,0.014752,1000,0
79367030,0,5373970,23.039999,0,0,0,156.9064,0.014028347,1000,0
80386292,0,5373970,24.0,0,0,0,156.9064,0.012998441,1000,0
81403295,0,5373970,24.0,0,0,0,156.9064,0.014864168,1000,0
82422559,0,5373970,24.0,0,0,0,156.9064,0.011224367,1000,0
83442027,0,5373970,24.0,0,0,0,156.9064,0.011802369,1000,0
84357094,0,5373970,24.0,0,0,0,156.9064,0.013099456,1000,0
85376371,0,5373970,23.039999,0,0,0,156.9064,0.012956898,1000,0
86395660,0,5373970,24.0,0,0,0,156.9064,0.012635437,1000,0
87415050,0,5373970,24.0,0,0,0,156.9064,0.0128801875,1000,0
88436422,0,5373970,23.039999,0,0,0,156.9064,0.012532328,1000,0
89455660,0,5373970,23.039999,0,0,0,156.9064,0.012435351,1000,0
90370953,0,5373970,23.039999,0,0,0,156.9064,0.011460453,1000,0
91387991,0,5373970,24.0,0,0,0,156.9064,0.011446337,1000,0
92407218,0,5373970,24.0,0,0,0,156.9064,0.01151039,1000,0
93426510,0,5373970,24.0,0,0,0,156.9064,0.011657778,1000,0
94443483,0,5373970,24.0,0,0,0,156.9064,0.013017728,1000,0
95462752,0,5373970,24.0,0,0,0,156.9064,0.013500947,1000,0
96382585,0,5373970,23.039999,0,0,0,156.9064,0.0129849715,1000,0
97404086,0,5373970,23.039999,0,0,0,156.9064,0.013829741,1000,0
98421082,0,5373970,23.039999,0,0,0,156.9064,0.012352238,1000,0
99442674,0,5373970,23.039999,0,0,0,156.9064,0.012827328,1000,0
100459607,0,5373970,23.039999,0,0,0,156.9064,0.012948682,1000,0
101478962,0,5373970,23.039999,0,0,0,156.9064,0.014789398,1000,0
102398696,0,5373970,23.039999,0,0,0,156.9064,0.01627754,1000,0
103415693,0,5373970,23.039999,0,0,0,156.9064,0.012125721,1000,0
104432694,0,5373970,23.039999,0,0,0,156.9064,0.011646325,1000,0
105451958,0,5373970,23.039999,0,0,0,156.9064,0.01173508,1000,0
106471198,0,5373970,23.039999,0,0,0,156.9064,0.012441337,1000,0
107488201,0,5373970,23.039999,0,0,0,156.9064,0.013873247,1000,0
108406058,0,5373970,23.039999,0,0,0,156.9064,0.0130385775,1000,0
109425030,0,5373970,23.039999,0,0,0,156.9064,0.013170378,1000,0
110444287,0,5373970,23.039999,0,0,0,156.9064,0.012133369,1000,0
111461296,0,5373970,23.039999,0,0,0,156.9064,0.011927679,1000,0
112480557,0,5373970,23.039999,0,0,0,156.9064,0.01231504,1000,0
113497562,0,5373970,23.039999,0,0,0,156.9064,0.011329973,1000,0
114417382,0,5373970,23.039999,0,0,0,156.9064,0.010577778,1000,0
115436653,0,5373970,23.039999,0,0,0,156.9064,0.01304018,1000,0
116455988,0,5373970,22.08,0,0,0,156.9064,0.013627324,1000,0
117475154,0,5373970,22.08,0,0,0,156.9064,0.013960009,1000,0
118494425,0,5373970,22.08,0,0,0,156.9064,0.011863582,1000,0
119513670,0,5373970,22.08,0,0,0,156.9064,0.010183751,1000,0
120428955,0,5373970,22.08,0,0,0,156.9064,0.011556447,1000,0
123489008,0,5373970,22.08,0,0,0,156.9064,0.014497141,1000,0
124508287,0,5373970,22.08,0,0,0,156.9064,0.013778279,1000,0
125428079,0,5373970,22.08,0,0,0,156.9064,0.013403139,1000,0
126447366,0,5373970,22.08,0,0,0,156.9064,0.013528443,1000,0
127468956,0,5373970,22.08,0,0,0,156.9064,0.011849336,1000,0
128488129,0,5373970,22.08,0,0,0,156.9064,0.012647607,1000,0
129507397,0,5373970,22.08,0,0,0,156.9064,0.015182739,1000,0
130524409,0,5373970,22.08,0,0,0,156.9064,0.0151634365,1000,0
131442045,0,5373970,21.119999,0,0,0,156.9064,0.013100456,1000,0
132459081,0,5373970,21.119999,0,0,0,156.9064,0.012965219,1000,0
133480474,0,5373970,21.119999,0,0,0,156.9064,0.0140866535,1000,0
134501979,0,5373970,21.119999,0,0,0,156.9064,0.014348081,1000,0
135521254,0,5373970,21.119999,0,0,0,156.9064,0.014512075,1000,0
136540534,0,5373970,21.119999,0,0,0,156.9064,0.014732379,1000,0
137455997,0,5373970,20.16,0,0,0,156.9064,0.011802302,1000,0
138475061,0,5373970,20.16,0,0,0,156.9064,0.013815881,1000,0
139494326,0,5373970,20.16,0,0,0,156.9064,0.014798574,1000,0
140513617,0,5373970,21.119999,0,0,0,156.9064,0.014202627,1000,0
141535108,0,5373970,20.16,0,0,0,156.9064,0.014065424,1000,0
142552113,0,5373970,21.119999,0,0,0,156.9064,0.011976229,1000,0
143569109,0,5373970,21.119999,0,0,0,156.9064,0.014827274,1000,0
144486688,0,5373970,20.16,0,0,0,156.9064,0.013100181,1000,0
145506028,0,5373970,20.16,0,0,0,156.9064,0.012339013,1000,0
146522931,0,5373970,20.16,0,0,0,156.9064,0.012583439,1000,0
147542196,0,5373970,20.16,0,0,0,156.9064,0.0118479645,1000,0
148561478,0,5373970,19.199999,0,0,0,156.9064,0.013817605,1000,0
149582955,0,5373970,19.199999,0,0,0,156.9064,0.015037453,1000,0
150498279,0,5373970,19.199999,0,0,0,156.9064,0.015699616,1000,0
151517590,0,5373970,19.199999,0,0,0,156.9064,0.014638977,1000,0
152539034,0,5373970,18.24,0,0,0,156.9064,0.017209742,1000,0
153556064,0,5373970,19.199999,0,0,0,156.9064,0.018202472,1000,0
154575310,0,5373970,18.24,0,0,0,156.9064,0.017479198,1000,0
155597032,0,5373970,18.24,0,0,0,156.9064,0.01874391,1000,0
